name,category,address,hours,rating,price,avg_bill,middle_avg_bill,middle_coffee_cup,chain,seats,city,avg_bill_from,avg_bill_to
wowфли,кафе,улица дыбенко 7/1,"ежедневно,10:00–22:00",10.0,,,,,0,,Москва,,-1.0
четыре комнаты,ресторан,улица дыбенко 36 корп. 1,"ежедневно,10:00–22:00",9.0,выше среднего,средний счёт:1500–1600 ₽,1550.0,,0,4.0,Москва,1500.0,1600.0
хазри,кафе,клязьминская улица 15,"пн-чт 11:00–02:00; пт,сб 11:00–05:00; вс 11:00–02:00",9.2,средние,средний счёт:от 1000 ₽,1000.0,,0,45.0,Москва,1000.0,-1.0
dormouse coffee shop,кофейня,улица маршала федоренко 12,"ежедневно,09:00–22:00",10.0,,цена чашки капучино:155–185 ₽,,170.0,0,,Москва,155.0,185.0
иль марко,пиццерия,правобережная улица 1б,"ежедневно,10:00–22:00",10.0,средние,средний счёт:400–600 ₽,500.0,,0,148.0,Москва,400.0,600.0
sergio pizza,пиццерия,ижорская улица вл8б,"ежедневно,10:00–23:00",9.2,средние,,,,0,,Москва,,-1.0
огни города,"бар, паб",клязьминская улица 9 стр. 3,пн 15:00–04:00; вт-вс 15:00–05:00,8.8,средние,средний счёт:199 ₽,199.0,,0,45.0,Москва,199.0,-1.0
mr. уголек,быстрое питание,клязьминская улица 9 стр. 3,"пн-чт 10:00–22:00; пт,сб 10:00–23:00; вс 10:00–22:00",9.4,средние,средний счёт:200–300 ₽,250.0,,0,45.0,Москва,200.0,300.0
donna maria,ресторан,дмитровское шоссе 107 корп. 4,"ежедневно,10:00–22:00",9.6,средние,средний счёт:от 500 ₽,500.0,,0,79.0,Москва,500.0,-1.0
готика,кафе,ангарская улица 39,"ежедневно,12:00–00:00",8.6,средние,средний счёт:1000–1200 ₽,1100.0,,0,65.0,Москва,1000.0,1200.0
great room bar,"бар, паб",левобережная улица 12,"ежедневно,круглосуточно",9.0,средние,цена бокала пива:250–350 ₽,,,0,102.0,Москва,250.0,350.0
шашлык шефф,кафе,улица маршала федоренко 10с1,"ежедневно,10:00–21:00",9.8,,,,,0,,Москва,,-1.0
заправка,кафе,мкад 80-й километр 1,вт-сб 09:00–18:00,8.6,средние,средний счёт:330 ₽,330.0,,0,,Москва,330.0,-1.0
буханка,булочная,базовская улица 15 корп. 1,"ежедневно,08:00–22:00",9.6,,,,,0,180.0,Москва,,-1.0
у сильвы,"бар, паб",ангарская улица 42с1,"ежедневно,13:00–00:00",8.4,выше среднего,средний счёт:1500 ₽,1500.0,,0,,Москва,1500.0,-1.0
дом обеда,столовая,улица бусиновская горка 2,пн-пт 08:30–18:30; сб 10:00–20:00,8.2,средние,средний счёт:300–500 ₽,400.0,,0,180.0,Москва,300.0,500.0
база стритфуд,кафе,базовская улица 15 корп. 8,"ежедневно,10:00–23:00",8.4,средние,средний счёт:140–350 ₽,245.0,,0,,Москва,140.0,350.0
чайхана беш-бармак,ресторан,ленинградское шоссе 71б стр. 2,"ежедневно,круглосуточно",8.8,средние,средний счёт:350–500 ₽,425.0,,0,96.0,Москва,350.0,500.0
час-пик,столовая,коровинское шоссе 30а,"ежедневно,09:00–21:00",8.6,средние,средний счёт:200–300 ₽,250.0,,0,25.0,Москва,200.0,300.0
пекарня,булочная,ижорский проезд 5,"ежедневно,круглосуточно",8.8,,,,,0,,Москва,,-1.0
чебуреки манты,кафе,правобережная улица 1б,"ежедневно,10:00–22:00",8.6,,,,,0,148.0,Москва,,-1.0
7/12,кафе,прибрежный проезд 7,"ежедневно,10:00–22:00",9.0,,,,,0,,Москва,,-1.0
крымские чебуреки,кафе,коровинское шоссе 35 стр. 17,пн-пт 09:00–21:00,8.4,,,,,0,,Москва,,-1.0
буханка,булочная,лобненская улица 13к2,"ежедневно,08:00–22:00",9.4,,,,,1,,Москва,,-1.0
drive café,кафе,улица дыбенко 9ас1,"ежедневно,круглосуточно",8.0,,,,,0,,Москва,,-1.0
в парке вкуснее,кофейня,парк левобережный,"ежедневно,10:00–21:00",8.6,,,,,0,,Москва,,-1.0
пикочино,пиццерия,дмитровское шоссе 107к2,"пн-чт 11:00–22:00; пт,сб 11:00–23:00; вс 11:00–22:00",9.0,средние,средний счёт:300–1500 ₽,900.0,,0,,Москва,300.0,1500.0
шаурму х@чу,быстрое питание,улица дыбенко 7 стр. 1,"пн-пт 08:00–22:00; сб,вс 10:00–22:00",8.2,,средний счёт:от 240 ₽,240.0,,0,4.0,Москва,240.0,-1.0
mafe,кафе,мкад 78-й километр 14к1,"ежедневно,10:00–19:00",7.6,средние,средний счёт:400–600 ₽,500.0,,0,,Москва,400.0,600.0
кушай город,столовая,дмитровское шоссе 157 стр. 15,пн-пт 09:00–16:00,8.4,средние,средний счёт:200–250 ₽,225.0,,0,,Москва,200.0,250.0
кафедра,булочная,базовская улица 15 корп. 6,"ежедневно,08:00–21:00",8.8,,,,,0,,Москва,,-1.0
алталия,быстрое питание,улица дыбенко 7/1,"ежедневно,10:00–22:00",8.2,,,,,0,,Москва,,-1.0
додо пицца,пиццерия,коровинское шоссе 23 корп. 1,"ежедневно,09:00–23:00",8.6,,средний счёт:328 ₽,328.0,,0,46.0,Москва,328.0,-1.0
изба,ресторан,лобненская улица 4а,"ежедневно,10:00–21:00",8.6,средние,средний счёт:300 ₽,300.0,,0,40.0,Москва,300.0,-1.0
домино'с пицца,пиццерия,клязьминская улица 11 корп. 4,"ежедневно,10:00–23:00",8.4,,средний счёт:от 500 ₽,500.0,,0,247.0,Москва,500.0,-1.0
виладж пицца,пиццерия,базовская улица 15 корп. 15,"ежедневно,09:00–23:00",8.6,средние,средний счёт:от 345 ₽,345.0,,0,,Москва,345.0,-1.0
пекарня № 1 грузинская кухня,кафе,коровинское шоссе 33а,"ежедневно,10:00–22:00",7.8,,,,,0,21.0,Москва,,-1.0
халяль закусочная,кафе,коровинское шоссе 46 стр. 5,"ежедневно,08:00–23:00",7.8,,,,,0,,Москва,,-1.0
ижора,булочная,ижорский проезд 5а,неизвестно,8.8,,,,,0,,Москва,,-1.0
шаурмагия,быстрое питание,базовская улица 15а,"ежедневно,09:00–23:00",8.0,средние,средний счёт:60–400 ₽,230.0,,0,,Москва,60.0,400.0
кафе,кафе,ижорская улица 18 стр. 1,неизвестно,7.4,,,,,0,,Москва,,-1.0
крошка картошка,быстрое питание,улица дыбенко 7/1,"ежедневно,10:00–22:00",8.2,,,,,0,,Москва,,-1.0
варня кафе,быстрое питание,коровинское шоссе 29 корп. 1,"ежедневно,09:00–23:00",7.6,,,,,0,46.0,Москва,,-1.0
суши & пицца,ресторан,дмитровское шоссе 169 корп. 6,"ежедневно,10:00–23:00",8.0,,,,,0,,Москва,,-1.0
кафетерий,кафе,ангарская улица 24а,неизвестно,7.6,,,,,0,8.0,Москва,,-1.0
9 bar coffee,кофейня,коровинское шоссе 41 стр. 1,пн-пт 08:00–18:00,8.0,,,,,0,46.0,Москва,,-1.0
cofefest,кофейня,улица маршала федоренко 6с1,пн-пт 09:00–19:00,7.2,,,,,0,,Москва,,-1.0
кафе,кафе,улица маршала федоренко 7,"ежедневно,11:00–00:00",5.6,,,,,1,35.0,Москва,,-1.0
блинбери,ресторан,улица дыбенко 7 стр. 1,"ежедневно,10:00–22:00",7.8,,,,,0,4.0,Москва,,-1.0
2u-ту-ю,пиццерия,ижорская улица 8а,"ежедневно,круглосуточно",5.4,,средний счёт:900 ₽,900.0,,0,,Москва,900.0,-1.0
шаурма,быстрое питание,улица дыбенко 44,"ежедневно,круглосуточно",7.8,,,,,0,40.0,Москва,,-1.0
арамье,булочная,ангарская улица 30/25,"ежедневно,09:00–21:00",7.4,,,,,0,,Москва,,-1.0
cofix,кофейня,улица дыбенко 7/1,"ежедневно,08:00–22:00",7.6,,,,,0,,Москва,,-1.0
royal coffee,кофейня,правобережная улица 1б,"ежедневно,10:00–22:00",6.2,,,,,0,148.0,Москва,,-1.0
шашлык,быстрое питание,коровинское шоссе 46 стр. 5,"ежедневно,круглосуточно",7.8,,,,,0,,Москва,,-1.0
чебуреки и манты,кафе,правобережная улица 1б,"ежедневно,10:00–22:00",8.6,,,,,0,148.0,Москва,,-1.0
рыба из тандыра,быстрое питание,коровинское шоссе 46 стр. 5,неизвестно,3.0,,,,,0,,Москва,,-1.0
мир пиццы,кафе,дмитровское шоссе 151 корп. 5,"ежедневно,09:00–02:00",8.4,,,,,0,46.0,Москва,,-1.0
coffeekaldi's,кофейня,угличская улица 13 стр. 8,"ежедневно,09:00–22:00",8.2,средние,средний счёт:500–800 ₽,650.0,,0,,Москва,500.0,800.0
хинкали gали!,кафе,абрамцевская улица 30 стр. 1,"ежедневно,12:00–23:00",9.4,,,,,0,240.0,Москва,,-1.0
чебуречная история,кофейня,ландшафтный заказник лианозовский,"ежедневно,10:00–22:00",9.8,,,,,0,,Москва,,-1.0
кафе лоза,ресторан,череповецкая улица 4а,"ежедневно,круглосуточно",8.4,средние,средний счёт:500–800 ₽,650.0,,0,85.0,Москва,500.0,800.0
пить есть!,"бар, паб",алтуфьевское шоссе 97б,"ежедневно,12:00–03:00",9.0,средние,средний счёт:500–1000 ₽,750.0,,0,25.0,Москва,500.0,1000.0
pizza hut,пиццерия,череповецкая улица 12,"ежедневно,10:00–22:00",8.4,средние,средний счёт:600–700 ₽,650.0,,0,12.0,Москва,600.0,700.0
testo мания,кофейня,лианозовский парк культуры и отдыха,"ежедневно,09:00–21:00",8.2,,,,,0,,Москва,,-1.0
альбатрос,кафе,череповецкая улица 12а,"ежедневно,16:00–06:00",7.4,средние,средний счёт:600–700 ₽,650.0,,0,60.0,Москва,600.0,700.0
молинари,кофейня,алтуфьевское шоссе 70 корп. 1,"ежедневно,10:00–22:00",9.6,,,,,0,120.0,Москва,,-1.0
штаб квартира,"бар, паб",дубнинская улица 32,"пн-чт 12:30–00:00; пт,сб 12:30–02:00; вс 12:30–00:00",10.0,средние,цена бокала пива:120–350 ₽,,,0,16.0,Москва,120.0,350.0
мимино,кафе,илимская улица 3 корп. 1,пн-сб 11:00–23:00; вс 12:00–23:00,8.6,выше среднего,средний счёт:1000–1500 ₽,1250.0,,0,80.0,Москва,1000.0,1500.0
алазанская долина,ресторан,шенкурский проезд 14,"ежедневно,12:00–00:00",8.6,высокие,средний счёт:1500–2000 ₽,1750.0,,0,50.0,Москва,1500.0,2000.0
гуава бар,"бар, паб",алтуфьевское шоссе 70 корп. 1,"ежедневно,круглосуточно",8.8,,,,,0,120.0,Москва,,-1.0
cofefest,кофейня,новгородская улица 23а,пн-пт 08:00–19:00,8.2,,,,,1,,Москва,,-1.0
лакрица,кофейня,алтуфьевское шоссе 85,"ежедневно,08:00–21:00",9.0,средние,цена чашки капучино:150–190 ₽,,170.0,0,12.0,Москва,150.0,190.0
веранда,ресторан,парк алтуфьево,"пн-пт 11:00–22:00; сб,вс 11:00–23:00",8.4,,,,,0,,Москва,,-1.0
хинкали-gали!,кафе,улица пришвина 8 корп. 2,"ежедневно,12:00–23:00",9.6,,,,,0,44.0,Москва,,-1.0
хинкали-gали!,кафе,дмитровское шоссе 100,"ежедневно,12:00–23:00",9.8,,,,,1,,Москва,,-1.0
ресторан купец,ресторан,лобненская улица вл11,"пн-чт 12:00–23:00; пт,сб 12:00–00:00; вс 12:00–23:00",9.0,высокие,средний счёт:2000–2500 ₽,2250.0,,0,,Москва,2000.0,2500.0
оазис,кафе,дубнинская улица 79,"ежедневно,12:00–00:00",8.4,средние,средний счёт:500–1000 ₽,750.0,,0,43.0,Москва,500.0,1000.0
ресторан самарканд,ресторан,мкад 82-й километр вл18,"ежедневно,09:00–01:00",8.4,средние,средний счёт:600 ₽,600.0,,0,,Москва,600.0,-1.0
ресторан landau cafe & grill bar,"бар, паб",бульвар академика ландау 3,"ежедневно,11:00–23:00",8.6,,,,,0,,Москва,,-1.0
му-му,кафе,улица пришвина 22,"пн-пт 10:00–21:00; сб,вс 10:00–22:00",8.6,средние,средний счёт:450 ₽,450.0,,0,90.0,Москва,450.0,-1.0
coffee way,кофейня,алтуфьевское шоссе 86 корп. 1,"ежедневно,09:00–22:00",8.6,,цена чашки капучино:120–170 ₽,,145.0,0,120.0,Москва,120.0,170.0
пиросмани,быстрое питание,дубнинская улица 32,"ежедневно,09:00–23:00",8.6,,,,,0,16.0,Москва,,-1.0
аль-бухари,кафе,улица пришвина 3б,"ежедневно,09:00–02:00",8.6,,,,,0,50.0,Москва,,-1.0
meat doner kebab,булочная,улица лескова 22,"ежедневно,круглосуточно",9.0,,средний счёт:300 ₽,300.0,,0,0.0,Москва,300.0,-1.0
дежене,столовая,дубнинская улица 81а,пн-пт 08:30–17:00,8.8,средние,средний счёт:100–500 ₽,300.0,,0,,Москва,100.0,500.0
халяль,кафе,улица плещеева 4 корп. 1 стр. 1,"ежедневно,круглосуточно",9.0,,,,,0,25.0,Москва,,-1.0
гриль хаус,"бар, паб",алтуфьевское шоссе 70к1,"ежедневно,11:00–23:00",8.6,средние,средний счёт:от 850 ₽,850.0,,0,,Москва,850.0,-1.0
zамания,пиццерия,дмитровское шоссе 163а,"ежедневно,10:00–22:00",9.8,,,,,0,,Москва,,-1.0
сахарочек,кофейня,дмитровское шоссе 107а корп. 2,пн-пт 09:00–22:00; сб 10:00–22:00; вс 10:00–21:00,9.0,средние,цена чашки капучино:100–200 ₽,,150.0,0,120.0,Москва,100.0,200.0
кафе на пришвина,кафе,улица пришвина вл23а,"ежедневно,круглосуточно",8.6,,,,,0,,Москва,,-1.0
шашлык,булочная,абрамцевская улица 1,"ежедневно,круглосуточно",8.4,,,,,1,240.0,Москва,,-1.0
лавашок,быстрое питание,дмитровское шоссе 116д,"ежедневно,10:00–22:00",8.6,средние,средний счёт:250–600 ₽,425.0,,0,120.0,Москва,250.0,600.0
jamamai asian kitchen & bar,ресторан,дмитровское шоссе 107 корп. 2,"ежедневно,11:00–23:00",8.6,высокие,средний счёт:2100 ₽,2100.0,,0,120.0,Москва,2100.0,-1.0
домино'с пицца,пиццерия,абрамцевская улица 30 стр. 6,"пн-пт 11:00–22:00; сб,вс 10:00–22:00",8.4,средние,,,,1,16.0,Москва,,-1.0
додо пицца,пиццерия,дубнинская улица 50,"ежедневно,09:00–23:00",8.6,,средний счёт:349 ₽,349.0,,1,50.0,Москва,349.0,-1.0
cofefest,кофейня,улица пришвина 8,пн-пт 08:00–19:00,8.6,,,,,1,,Москва,,-1.0
жигулевское,"бар, паб",бибиревская улица 7к2,"пн-чт 14:00–00:00; пт,сб 14:00–02:00; вс 14:00–00:00",9.0,средние,цена бокала пива:90–230 ₽,,,0,,Москва,90.0,230.0
тбилисоба,ресторан,улица лескова 14,"ежедневно,10:00–22:00",8.8,,,,,0,,Москва,,-1.0
чайхана омад,кафе,дубнинская улица 32,"ежедневно,круглосуточно",8.2,средние,средний счёт:350–500 ₽,425.0,,0,16.0,Москва,350.0,500.0
take and wake,кофейня,дмитровское шоссе 100 стр. 2,пн-пт 08:30–18:30,9.0,низкие,цена чашки капучино:150–210 ₽,,180.0,0,120.0,Москва,150.0,210.0
шаурмовик,булочная,улица лескова 8,"ежедневно,11:00–23:00",9.8,,,,,0,,Москва,,-1.0
мята signature алтуфьево,кафе,улица лескова 3г,"пн-чт 12:00–03:00; пт,сб 12:00–04:30; вс 12:00–03:00",10.0,,,,,0,80.0,Москва,,-1.0
тетри,быстрое питание,лианозовский проезд вл1,вт-вс 09:00–19:00,8.0,средние,средний счёт:150–250 ₽,200.0,,0,,Москва,150.0,250.0
pho street,ресторан,алтуфьевское шоссе 48к2,"пн,вт,ср,чт,пт,вс 09:00–20:00",9.0,средние,средний счёт:300–500 ₽,400.0,,0,,Москва,300.0,500.0
star hit cafe,кафе,дмитровское шоссе 163ак1,"ежедневно,10:00–22:00",8.6,низкие,средний счёт:от 120 ₽,120.0,,0,,Москва,120.0,-1.0
вектор,кофейня,алтуфьевское шоссе 48 корп. 1,пн-пт 07:30–18:30,8.8,,цена чашки капучино:80–160 ₽,,120.0,0,120.0,Москва,80.0,160.0
теремок,ресторан,алтуфьевское шоссе 86 корп. 1,"ежедневно,09:00–22:00",8.2,,средний счёт:269 ₽,269.0,,0,120.0,Москва,269.0,-1.0
кафе,"бар, паб",мкад 82-й километр вл18,неизвестно,8.4,,,,,1,,Москва,,-1.0
чайхана,кафе,алтуфьевское шоссе 70 корп. 1,"ежедневно,09:00–06:00",8.4,средние,средний счёт:300–500 ₽,400.0,,0,120.0,Москва,300.0,500.0
ocean лав,ресторан,дмитровское шоссе 107 корп. 3,"ежедневно,11:00–23:00",8.8,,,,,0,198.0,Москва,,-1.0
алазани,ресторан,челобитьевское шоссе 10а,"ежедневно,12:00–00:00",8.6,выше среднего,средний счёт:600–2000 ₽,1300.0,,0,40.0,Москва,600.0,2000.0
pho ханой,кафе,алтуфьевское шоссе 70 корп. 1,"ежедневно,10:00–21:30",8.2,,,,,0,120.0,Москва,,-1.0
bowl family,кафе,улица лескова 14,"ежедневно,10:00–22:00",8.2,,средний счёт:700–800 ₽,750.0,,0,,Москва,700.0,800.0
островок суши,быстрое питание,алтуфьевское шоссе 86 корп. 1,"ежедневно,10:00–21:30",8.2,средние,,,,0,120.0,Москва,,-1.0
сеть поминальных залов,кафе,улица плещеева 4 корп. 1 стр. 5,"ежедневно,09:00–22:00",9.0,,,,,0,95.0,Москва,,-1.0
алло! пицца,пиццерия,костромская улица 14б,"ежедневно,10:00–23:00",8.6,средние,средний счёт:500–700 ₽,600.0,,0,240.0,Москва,500.0,700.0
ретро нью,ресторан,дмитровское шоссе 108 стр. 3,"ежедневно,08:00–00:00",8.2,выше среднего,средний счёт:300–2000 ₽,1150.0,,0,198.0,Москва,300.0,2000.0
cofefest,кофейня,дубнинская улица 40 корп. 3,пн-пт 09:00–18:00,8.2,,,,,1,,Москва,,-1.0
додо пицца,пиццерия,алтуфьевское шоссе 70 корп. 1,"ежедневно,09:00–23:00",8.6,,средний счёт:355 ₽,355.0,,1,120.0,Москва,355.0,-1.0
два бобра,быстрое питание,улица пришвина 12 корп. 2,пн-пт 09:00–16:00,8.2,,,,,0,44.0,Москва,,-1.0
встреча,кафе,карельский бульвар 4а,"ежедневно,круглосуточно",8.2,,,,,0,,Москва,,-1.0
жарим мясо,ресторан,улица лескова 14,пн-чт 10:00–21:00; пт-вс 10:00–21:30,9.0,,,,,0,,Москва,,-1.0
кафе,кафе,шенкурский проезд 14,неизвестно,8.6,,,,,1,50.0,Москва,,-1.0
шашлык хаус,кафе,дмитровское шоссе 107 корп. 4,"ежедневно,10:00–22:00",8.4,,средний счёт:от 200 ₽,200.0,,0,79.0,Москва,200.0,-1.0
лотос,ресторан,инженерная улица 1а,"ежедневно,11:00–23:00",8.2,средние,средний счёт:800–1200 ₽,1000.0,,0,95.0,Москва,800.0,1200.0
кулинария,кафе,череповецкая улица 17,неизвестно,7.8,,,,,0,,Москва,,-1.0
арарат,кафе,дмитровское шоссе 165 корп. 1,"ежедневно,06:00–20:00",8.4,,,,,0,350.0,Москва,,-1.0
калина,быстрое питание,дубнинская улица 52 стр. 2,"ежедневно,10:00–20:00",7.8,низкие,средний счёт:150–300 ₽,225.0,,0,124.0,Москва,150.0,300.0
pizza sole,пиццерия,бульвар академика ландау 1,"ежедневно,11:00–22:00",8.6,средние,средний счёт:500–1000 ₽,750.0,,0,10.0,Москва,500.0,1000.0
meatлав,быстрое питание,дмитровское шоссе 107ак1,"ежедневно,11:00–23:00",9.2,средние,средний счёт:500–800 ₽,650.0,,0,,Москва,500.0,800.0
crosseat,кофейня,бульвар академика ландау 1,"ежедневно,09:00–21:00",9.0,,,,,0,10.0,Москва,,-1.0
пекарня-шаурма,быстрое питание,алтуфьевское шоссе 84,"ежедневно,круглосуточно",4.0,,,,,0,4.0,Москва,,-1.0
крепери,"бар, паб",улица лескова 14,"ежедневно,10:00–22:00",8.0,,,,,0,,Москва,,-1.0
van house,быстрое питание,дмитровское шоссе 163ак1,"ежедневно,10:00–22:00",8.8,,,,,0,,Москва,,-1.0
чудо печка,кафе,бульвар академика ландау 1,"ежедневно,10:30–23:00",8.2,средние,средний счёт:300–700 ₽,500.0,,0,10.0,Москва,300.0,700.0
ho chu pho,быстрое питание,дмитровское шоссе 163ак1,"ежедневно,10:00–22:00",8.2,средние,средний счёт:500–800 ₽,650.0,,0,,Москва,500.0,800.0
get and fly,ресторан,парк ангарские пруды,"ежедневно,09:00–23:00",8.2,,,,,0,,Москва,,-1.0
хинкальная,быстрое питание,шенкурский проезд 14,неизвестно,8.2,,,,,0,50.0,Москва,,-1.0
шеф бургер,кофейня,дмитровское шоссе 116д,"ежедневно,10:00–22:00",8.2,средние,средний счёт:300 ₽,300.0,,0,120.0,Москва,300.0,-1.0
парус,кафе,улица плещеева 4 корп. 1 стр. 3,"ежедневно,10:00–22:00",8.2,,,,,0,,Москва,,-1.0
кафе,кафе,дубнинская улица 52 стр. 1,"ежедневно,10:00–20:00",7.8,,,,,1,70.0,Москва,,-1.0
кулинария,кафе,инженерная улица 3,"ежедневно,07:00–00:00",9.6,,,,,1,,Москва,,-1.0
one price coffee,кофейня,улица пришвина 22,"ежедневно,10:00–21:00",8.4,,,,,0,90.0,Москва,,-1.0
art coffee club,кофейня,лобненская улица 4а,"ежедневно,10:00–21:00",8.6,,,,,0,40.0,Москва,,-1.0
пеликан,кафе,дмитровское шоссе 157с24,"ежедневно,10:00–21:00",8.0,,средний счёт:250–300 ₽,275.0,,0,,Москва,250.0,300.0
скалка,булочная,дмитровское шоссе 107к2,"ежедневно,08:00–22:00",8.4,,,,,0,,Москва,,-1.0
кофетун-сушитун,кафе,дмитровское шоссе 163ак1,"ежедневно,10:00–23:00",8.0,средние,средний счёт:1200 ₽,1200.0,,0,,Москва,1200.0,-1.0
халяль,кафе,дмитровское шоссе 107а корп. 5,"ежедневно,08:00–00:00",8.0,,,,,1,46.0,Москва,,-1.0
коффе души,кофейня,улица софьи ковалевской 8,"ежедневно,10:00–22:00,перерыв 16:00–16:20",8.6,средние,цена чашки капучино:100 ₽,,100.0,0,10.0,Москва,100.0,-1.0
правда,"бар, паб",дмитровское шоссе 124а,"ежедневно,08:00–23:00",2.8,,,,,0,,Москва,,-1.0
шоколадница,кофейня,дмитровское шоссе 163ак1,"ежедневно,10:00–22:00",8.2,,цена чашки капучино:239–274 ₽,,256.0,0,,Москва,239.0,274.0
все шашлыки,быстрое питание,улица плещеева 4а,"ежедневно,11:00–23:00",8.2,,,,,0,,Москва,,-1.0
магбургер,быстрое питание,дмитровское шоссе вл163,"ежедневно,круглосуточно",8.6,средние,средний счёт:390–460 ₽,425.0,,0,,Москва,390.0,460.0
бистро 24,быстрое питание,улица софьи ковалевской 2,"ежедневно,круглосуточно",8.2,,,,,0,48.0,Москва,,-1.0
поляна,"бар, паб",улица корнейчука 16,"ежедневно,13:00–04:00",9.8,,,,,0,50.0,Москва,,-1.0
бобры,кафе,улица пришвина 12 корп. 2,пн-пт 09:00–16:00,8.0,,,,,0,44.0,Москва,,-1.0
линии вкуса,ресторан,проектируемый проезд № 5265,"ежедневно,09:00–23:00",8.2,,средний счёт:1000–1500 ₽,1250.0,,0,,Москва,1000.0,1500.0
палки-скалки,пиццерия,улица римского-корсакова 11 корп. 8,"ежедневно,круглосуточно",8.0,,,,,0,,Москва,,-1.0
кафе,кафе,дмитровское шоссе 163а,"ежедневно,10:00–22:00",8.0,,,,,1,,Москва,,-1.0
лакафе,кафе,бульвар академика ландау 3,пн-чт 08:00–20:00; пт-вс 10:00–22:00,8.6,выше среднего,средний счёт:700–1500 ₽,1100.0,,0,,Москва,700.0,1500.0
домино'с пицца,пиццерия,дубнинская улица 71 корп. 1,"ежедневно,10:00–23:00",8.4,,,,,1,70.0,Москва,,-1.0
яндекс лавка,ресторан,дмитровское шоссе 107с17,"ежедневно,07:00–00:00",8.6,,,,,0,,Москва,,-1.0
wild bean cafe,кафе,улица плещеева 2 стр. 1,"ежедневно,круглосуточно",8.2,,,,,0,25.0,Москва,,-1.0
эстетик,кафе,алтуфьевское шоссе 56г,"ежедневно,09:00–22:00",8.8,,,,,0,,Москва,,-1.0
флокс,булочная,алтуфьевское шоссе 70 корп. 1,"ежедневно,10:00–22:00",7.6,,средний счёт:500–700 ₽,600.0,,0,120.0,Москва,500.0,700.0
бута бар,кафе,илимская улица 1 корп. 3,"ежедневно,11:00–23:00",6.6,средние,средний счёт:800–1000 ₽,900.0,,0,,Москва,800.0,1000.0
узбекистан,быстрое питание,алтуфьевское шоссе 84,"ежедневно,08:00–23:00",2.8,,,,,0,4.0,Москва,,-1.0
шаурма на углях,кафе,улица пришвина 3б,"ежедневно,09:00–22:00",8.2,,,,,0,50.0,Москва,,-1.0
домино'с пицца,пиццерия,улица плещеева 1,"пн-пт 11:00–00:00; сб,вс 10:00–00:00",8.4,средние,,,,1,25.0,Москва,,-1.0
кафе луна,кафе,улица плещеева 11в,"пн-чт 12:00–02:00; пт,сб 12:00–04:00; вс 12:00–02:00",8.6,,,,,0,50.0,Москва,,-1.0
one price coffee,кофейня,дмитровское шоссе 163а корп. 1,"ежедневно,10:00–22:00",8.0,,,,,1,350.0,Москва,,-1.0
menza,кафе,лобненская улица 4а,"ежедневно,11:00–00:00",9.0,средние,средний счёт:700–1000 ₽,850.0,,0,40.0,Москва,700.0,1000.0
булкер,столовая,дмитровское шоссе 100 корп. 2,пн-пт 08:00–16:00,7.0,низкие,средний счёт:240 ₽,240.0,,0,120.0,Москва,240.0,-1.0
домовенок кузя,кафе,улица софьи ковалевской 1с8,"ежедневно,10:00–22:00",7.8,,,,,0,,Москва,,-1.0
ресторан,ресторан,дмитровское шоссе 161б,"ежедневно,11:00–19:00",8.2,,,,,0,40.0,Москва,,-1.0
вуди пицца,пиццерия,дмитровское шоссе 107а корп. 1,"пн-пт 08:00–21:00; сб,вс 09:00–21:00",8.0,средние,средний счёт:400–600 ₽,500.0,,0,350.0,Москва,400.0,600.0
арамье,булочная,улица 800-летия москвы 22 корп. 2,"ежедневно,09:00–21:00",8.0,,,,,1,0.0,Москва,,-1.0
кушай город,кафе,дмитровское шоссе 100 стр. 2,пн-пт 09:00–16:00,7.6,,,,,1,120.0,Москва,,-1.0
буханка,булочная,юрловский проезд 14 корп. 3,"ежедневно,08:00–22:00",8.6,,,,,1,,Москва,,-1.0
fresita pizza,пиццерия,дмитровское шоссе 159,"ежедневно,круглосуточно",8.0,,средний счёт:500–1000 ₽,750.0,,0,,Москва,500.0,1000.0
fire,кафе,улица пришвина 3 стр. 2,"ежедневно,16:00–04:00",2.8,,,,,0,44.0,Москва,,-1.0
карелия,кафе,карельский бульвар 4а,"ежедневно,09:00–00:00",7.4,,,,,0,,Москва,,-1.0
кафе,кафе,алтуфьевское шоссе 106,"ежедневно,круглосуточно",6.4,,,,,1,6.0,Москва,,-1.0
мосплов,ресторан,улица лескова 6,"ежедневно,09:00–21:00",7.6,,,,,0,98.0,Москва,,-1.0
донер кебаб,быстрое питание,улица пришвина вл23а,"ежедневно,круглосуточно",7.2,,средний счёт:350–500 ₽,425.0,,0,,Москва,350.0,500.0
фри фло бар,пиццерия,алтуфьевское шоссе 79а стр. 3,пн-пт 08:00–18:00,8.6,,,,,0,30.0,Москва,,-1.0
cofefest,кофейня,инженерная улица 3с1,пн-пт 08:00–19:00,5.8,,,,,1,,Москва,,-1.0
сушистор,ресторан,дмитровское шоссе 163ак1,"ежедневно,10:00–22:00",8.0,,,,,0,,Москва,,-1.0
кафе,кафе,алтуфьевское шоссе 52а,"ежедневно,круглосуточно",9.0,,,,,1,,Москва,,-1.0
кулинарный дворик 1996,кафе,бульвар академика ландау 1,"ежедневно,10:00–23:00",5.4,,средний счёт:500–1000 ₽,750.0,,0,10.0,Москва,500.0,1000.0
