name,category,address,hours,rating,price,avg_bill,middle_avg_bill,middle_coffee_cup,chain,seats,city,avg_bill_from,avg_bill_to
райхан,кафе,огородный проезд 10 стр. 11,"ежедневно,08:00–23:00",8.6,средние,средний счёт:200–400 ₽,300.0,,0,,Москва,200.0,400.0
tokpokki,кафе,складочная улица 1 стр. 1,"ежедневно,10:00–22:00",8.2,средние,средний счёт:300–600 ₽,450.0,,0,60.0,Москва,300.0,600.0
хлеб насущный,булочная,лесная улица 5,"пн-пт 07:00–23:00; сб,вс 07:30–23:00",8.8,,,,,1,140.0,Москва,,-1.0
лахинкали,ресторан,планетная улица 45,"ежедневно,11:00–00:00",8.6,,,,,0,,Москва,,-1.0
ecle,ресторан,октябрьская улица 5,"пн-пт 11:00–23:30; сб,вс 13:00–23:30",8.6,высокие,средний счёт:1500–3000 ₽,2250.0,,0,30.0,Москва,1500.0,3000.0
poke house,кафе,лесная улица 20 стр. 3,"пн-чт 10:00–23:00; пт,сб 10:00–02:00; вс 10:00–23:00",8.8,средние,средний счёт:от 500 ₽,500.0,,0,500.0,Москва,500.0,-1.0
demi coffee shop,кофейня,октябрьская улица 69,"ежедневно,08:00–21:00",9.0,,цена чашки капучино:110–165 ₽,,137.0,0,,Москва,110.0,165.0
bespoke cafe,кофейня,новодмитровская улица 2 корп. 1а,"пн-пт 08:00–22:00; сб,вс 10:00–22:00",8.0,,,,,0,,Москва,,-1.0
prime,ресторан,4-й лесной переулок 4,пн-пт 08:00–21:00,8.4,низкие,средний счёт:300–400 ₽,350.0,,1,220.0,Москва,300.0,400.0
istanbul kebab,быстрое питание,ленинградский проспект 62 стр. 26,"ежедневно,09:00–23:00",8.8,средние,,,,0,,Москва,,-1.0
медиакафе рг,столовая,улица правды 24 стр. 4,пн-пт 09:00–17:00,8.2,,,,,0,80.0,Москва,,-1.0
frankie pizza,пиццерия,новослободская улица 24 стр. 1,"ежедневно,11:00–00:00",9.0,средние,средний счёт:500–1300 ₽,900.0,,0,217.0,Москва,500.0,1300.0
чб,кофейня,новослободская улица 57/65,"пн-пт 09:00–21:00; сб,вс 10:00–21:00",8.6,,цена чашки капучино:120–150 ₽,,135.0,0,42.0,Москва,120.0,150.0
молоко и мед,ресторан,кочновский проезд 4 корп. 2,пн-чт 10:00–23:00; пт 10:00–15:00; вс 10:00–23:00,8.6,,,,,0,,Москва,,-1.0
bloom-n-brew,кофейня,краснопролетарская улица 16 стр. 2,"ежедневно,09:00–21:00",9.4,средние,цена чашки капучино:230–280 ₽,,255.0,0,98.0,Москва,230.0,280.0
масала хаус,быстрое питание,складочная улица 1с1,"ежедневно,10:00–22:00",8.4,,,,,0,,Москва,,-1.0
столовая в марьиной роще,столовая,анненский проезд 1 стр. 20,пн-пт 09:00–18:00,8.8,средние,средний счёт:200–300 ₽,250.0,,0,,Москва,200.0,300.0
шоколадница,кофейня,новослободская улица 10 стр. 1,"пн-чт 08:00–23:00; пт,сб круглосуточно; вс 08:00–23:00",8.4,,,,,1,217.0,Москва,,-1.0
еда в стакане,кафе,улица академика королёва 12,"пн-пт 09:30–19:30; сб,вс 10:00–18:00",8.6,средние,средний счёт:300–500 ₽,400.0,,0,60.0,Москва,300.0,500.0
пардес,булочная,улица образцова 19с9,пн-чт 09:00–21:00; пт 09:00–18:00; вс 09:00–21:00,8.4,средние,средний счёт:500–1000 ₽,750.0,,0,,Москва,500.0,1000.0
чокнутый эспрессор,кофейня,новослободская улица 73/68с5,пн-пт 08:00–21:00,8.6,,,,,0,,Москва,,-1.0
золотая лошадь,ресторан,беговая улица 22,"ежедневно,11:00–23:00",8.8,высокие,средний счёт:1500–2500 ₽,2000.0,,0,96.0,Москва,1500.0,2500.0
гастрорюмочная шесть-you-шесть,"бар, паб",сущёвская улица 21 стр. 7,пн-чт 12:00–00:00; пт 12:00–05:00; сб 17:00–05:00; вс 17:00–00:00,8.8,,,,,0,60.0,Москва,,-1.0
kuma to sakana,ресторан,складочная улица 1 стр. 9,"ежедневно,10:00–22:00",8.4,средние,,,,0,,Москва,,-1.0
коптильня,ресторан,новослободская улица 18,"пн-чт 12:00–00:00; пт,сб 12:00–06:00; вс 12:00–00:00",8.8,высокие,средний счёт:от 2500 ₽,2500.0,,0,307.0,Москва,2500.0,-1.0
hanoi,кофейня,беговая улица 14,"пн-чт 10:00–22:00; пт 10:00–23:00; сб,вс 11:00–23:00",8.6,,,,,0,10.0,Москва,,-1.0
coffee bean,кофейня,долгоруковская улица 39/6,пн-сб 08:00–23:00; вс 09:00–22:00,8.8,,цена чашки капучино:180–300 ₽,,240.0,1,50.0,Москва,180.0,300.0
