,name,category,address,hours,rating,avg_bill,middle_coffee_cup
0,Theobroma,кофейня,"Санкт-Петербург, ул. Большая Зеленина 34",Пн–Вс: C 13:00 — до последнего гостя,8.8,Средний чек 1600 р. без напитков,
1,Астаманьяна,кофейня,"Санкт-Петербург, Получите расширенный доступ к странице",,,Средний чек 1000 р. без напитков,
2,Caribia,кофейня,"Санкт-Петербург, ул. 2-я Советская 12","Пн–Чт: 10:00 — 23:00, Пт–Сб: 10:00 — 00:00, Вс: 10:00 — 23:00",9.5,Средний чек 1500 р. без напитков,
3,Рок остров,кофейня,"Санкт-Петербург, ул. Кирочная 8а","Пн–Пт: 08:00 — 20:00, Сб–Вс: 09:00 — 20:00",0.0,Средний чек 300 р. без напитков,
4,Тройка,кофейня,"Санкт-Петербург, пр. Загородный  27",Пн–Вс: 09:00 — 21:00,9.3,,
5,Midi Modi,кофейня,"Санкт-Петербург, ул. Некрасова 40",Пн–Вс: 10:00 — 00:00,7.6,Средний чек 700 р. без напитков,
6,Кофейня №1,кофейня,"Санкт-Петербург, пер. Кирпичный 3","Пн–Чт: 10:00 — 23:30, Пт–Сб: 10:00 — 02:00, Вс: 10:00 — 23:30",8.4,Средний чек 1000 р. без напитков,
7,Хороший день,кофейня,"Санкт-Петербург, пр. Римского-Корсакова 31",Пн–Вс: 08:00 — 21:00,10.0,Средний чек 600 р. без напитков,
8,Civil,кофейня,"Санкт-Петербург, ул. 8-я Советская 4","Пн–Чт: 09:00 — 21:00, Пт–Сб: 09:00 — 22:00, Вс: 09:00 — 21:00",8.3,Средний чек 500 р. без напитков,
9,Peche,кофейня,"Санкт-Петербург, ул. Маяковского 56",Пн–Вс: 09:00 — 23:00,8.1,Средний чек 1000 р. без напитков,
10,Bonch,кофейня,"Санкт-Петербург, ул. Б. Морская 16","Пн–Пт: 09:00 — 23:00, Сб–Вс: 11:00 — 23:00",7.6,Средний чек 500 р. без напитков,
11,Нежно,кофейня,"Санкт-Петербург, ул. Большая Зеленина 21","Пн: 10:00 — 21:00, Вт: 11:00 — 21:00, Ср–Вс: 10:00 — 21:00",9.0,Средний чек 300 р. без напитков,
12,Смена,кофейня,"Санкт-Петербург, пер. Басков 20","Пн–Пт: 09:00 — 20:00, Сб–Вс: 11:00 — 20:00",8.9,Средний чек 1000 р. без напитков,
13,Mer Kaffe,кофейня,"Санкт-Петербург, Большой пр. В.О 18",Пн–Вс: 08:30 — 22:00,8.2,Средний чек 900 р. без напитков,
14,Вкус искусства,кофейня,"Санкт-Петербург, Суворовский пр. 15",Пн–Вс: 10:00 — 22:00,8.2,Средний чек 1000 р. без напитков,
15,Gran,кофейня,"Санкт-Петербург, ул. Гороховая 46","Пн–Пт: 09:00 — 21:00, Сб–Вс: 10:00 — 21:00",8.5,Средний чек 1100 р. без напитков,
16,ТЧК,кофейня,"Санкт-Петербург, пр-т Каменноостровский 18/11","Пн–Пт: 08:30 — 21:00, Сб–Вс: 10:00 — 21:00",9.3,Средний чек 250 р. без напитков,
17,Mountain Coffee,кофейня,"Санкт-Петербург, ул. Моисеенко 27",,9.1,Средний чек 500 р. без напитков,
18,Sibaristica,кофейня,"Санкт-Петербург, наб. Обводного канала 199","Пн–Пт: 08:30 — 21:00, Сб–Вс: 10:00 — 21:00",9.2,Средний чек 1100 р. без напитков,
19,2A Concept,кофейня,"Санкт-Петербург, ул. Гороховая 49",Пн–Вс: 09:00 — 22:00,8.6,Средний чек 500 р. без напитков,
20,Coffee 3,кофейня,"Санкт-Петербург, наб. реки Карповки 5АК","Пн–Чт: 10:00 — 22:00, Пт–Сб: 10:00 — 23:00, Вс: 10:00 — 22:00",8.0,Средний чек 400 р. без напитков,
21,Chloe Cafe,кофейня,"Санкт-Петербург, В.О. пр. Малый 9","Пн–Пт: 10:00 — 22:00, Сб–Вс: 10:00 — 23:00",8.2,Средний чек 500 р. без напитков,
22,Щегол,кофейня,"Санкт-Петербург, ул. Радищева 38/20","Пн–Пт: 09:00 — 21:00, Сб–Вс: 10:00 — 21:00",8.7,Средний чек 250 р. без напитков,
23,Британские пекарни,кофейня,"Санкт-Петербург, пр. Новочеркасский 41",Пн–Вс: 10:00 — 22:00,7.8,Средний чек 350 р. без напитков,
24,Le Moniteur,кофейня,"Санкт-Петербург, В.О. Кадетская линия 31","Пн–Сб: 10:00 — 20:00, Вс: 11:00 — 20:00",8.8,Средний чек 550 р. без напитков,
25,Skuratov Coffee,кофейня,"Санкт-Петербург, ул. Малая Конюшенная 14",Пн–Вс: 06:55 — 23:05,8.6,Средний чек 300 р. без напитков,
26,Studio 212 Cafe,кофейня,"Санкт-Петербург, 6-я Красноармейская ул. 1",Пн–Вс: 10:00 — 22:00,8.6,Средний чек 450 р. без напитков,
27,Чайникофф,кофейня,"Санкт-Петербург, пр. Чернышевского 13",Пн–Вс: Круглосуточно,8.8,Средний чек 365 р. без напитков,
28,1886 Bonomi,кофейня,"Санкт-Петербург, пр. Невский 104",Пн–Вс: 09:00 — 21:00,8.7,Средний чек 200 р. без напитков,
29,Coffee Room,кофейня,"Санкт-Петербург, пр. Каменноостровский 22/11","Пн–Пт: 09:00 — 23:00, Сб–Вс: 10:00 — 23:00",7.9,Средний чек 800 р. без напитков,
30,Black coffee Co.,кофейня,"Санкт-Петербург, пр. Каменноостровский 13","Пн–Чт: 08:00 — 22:00, Пт–Сб: 09:30 — 21:00, Вс: 08:00 — 22:00",8.7,Средний чек 200 р. без напитков,
31,Pan&Cake,кофейня,"Санкт-Петербург, ул. Мира 7Г",Пн–Вс: 08:00 — 21:00,8.1,Средний чек 400 р. без напитков,
32,Pitcher,кофейня,"Санкт-Петербург, ул. Марата 2","Пн–Пт: 08:00 — 22:00, Сб–Вс: 10:00 — 22:00",8.8,Средний чек 200 р. без напитков,
33,Etlon Coffee,кофейня,"Санкт-Петербург, ул. 2-я Красноармейская 3","Пн–Пт: 08:00 — 21:00, Сб–Вс: 09:00 — 20:00",6.3,Средний чек 200 р. без напитков,
34,Займемся кофе,кофейня,"Санкт-Петербург, ул. Б. Пушкарская 28","Пн–Пт: 08:00 — 21:00, Сб–Вс: 10:00 — 21:00",8.2,Средний чек 100 р. без напитков,
35,Surf Coffee,кофейня,"Санкт-Петербург, ул. Гороховая 34",Пн–Вс: 08:00 — 23:00,8.3,Средний чек 300 р. без напитков,
36,Babe's Bakery,кофейня,"Санкт-Петербург, ул. Марата 30","Пн–Пт: 09:00 — 21:00, Сб–Вс: 10:00 — 21:00",8.0,Средний чек 200 р. без напитков,
37,Bolshecoffee Roasters,кофейня,"Санкт-Петербург, ул. Марата 22-24",Пн–Вс: 09:00 — 21:00,8.0,Средний чек 150 р. без напитков,
38,Кофелософия,кофейня,"Санкт-Петербург, наб. канала Грибоедова 106",Пн–Вс: 09:00 — 21:00,8.3,Средний чек 200 р. без напитков,
39,Характер кофе,кофейня,"Санкт-Петербург, наб. Фонтанки 109","Пн–Пт: 09:00 — 21:00, Сб: 10:00 — 21:00, Вс: 10:00 — 20:00",8.0,Средний чек 300 р. без напитков,
40,Kiosk 59,кофейня,"Санкт-Петербург, наб. реки Фонтанки 59","Пн–Пт: 08:00 — 22:00, Сб–Вс: 09:00 — 22:00",8.2,Средний чек 200 р. без напитков,
41,Verle,кофейня,"Санкт-Петербург, Каменноостровский проспект 25/2",Пн–Вс: 10:00 — 21:00,7.3,Средний чек 350 р. без напитков,
42,Мой хлебный,кофейня,"Санкт-Петербург, пр. Большевиков 15",Пн–Вс: 09:00 — 21:00,7.8,Средний чек 100 р. без напитков,
43,Hogan Coffee,кофейня,"Санкт-Петербург, пер. Биржевой 4","Пн–Пт: 09:00 — 21:00, Сб: 10:00 — 20:00, Вс: Выходной",8.1,Средний чек 200 р. без напитков,
44,Coffee 22,кофейня,"Санкт-Петербург, ул. Казанская 22","Пн–Пт: 08:30 — 23:00, Сб–Вс: 10:00 — 23:00",7.4,Средний чек 1400 р. без напитков,
45,Mr. Black,кофейня,"Санкт-Петербург, ул. Гороховая 25","Пн–Пт: 08:00 — 23:00, Сб–Вс: 09:00 — 23:00",6.6,Средний чек 200 р. без напитков,
46,Fan of Donuts,кофейня,"Санкт-Петербург, ул. Рубинштейна 26а",Пн–Вс: 09:00 — 22:00,8.0,Средний чек 200 р. без напитков,
47,Музей кофе,кофейня,"Санкт-Петербург, наб. Робеспьера 14","Пн: Выходной, Вт–Вс: 11:00 — 20:00",7.8,Средний чек 200 р. без напитков,
48,"Знакомьтесь, Джо!",кофейня,"Санкт-Петербург, пр. Литейный 57",Пн–Вс: 10:00 — 21:00,7.5,Средний чек 200 р. без напитков,
49,Кофеварим,кофейня,"Санкт-Петербург, пр. Энгельса 124",Пн–Вс: 08:00 — 23:00,7.5,Средний чек 200 р. без напитков,
50,Medici,ресторан,"Санкт-Петербург, пр. Медиков 10к1","Пн–Чт: 12:00 — 23:00, Пт–Сб: 12:00 — 01:00, Вс: 12:00 — 23:00",8.5,Средний чек 1400 р. без напитков,
51,Ripasso,ресторан,"Санкт-Петербург, ул. Большая Монетная 16","Пн–Чт: 11:00 — 23:00, Пт–Сб: 11:00 — 00:00, Вс: 11:00 — 23:00",8.0,Средний чек 1500 р. без напитков,
52,Amo,ресторан,"Санкт-Петербург, ул. Ропшинская 1/32",Пн–Вс: C 10:00 — до последнего гостя,8.3,Средний чек 1800 р. без напитков,
53,Romeo's,ресторан,"Санкт-Петербург, пр. Римского-Корсакова 43","Пн–Чт: 11:00 — 23:00, Пт–Сб: 11:00 — 00:00, Вс: 11:00 — 23:00",7.5,Средний чек 1800 р. без напитков,
54,Arancino,ресторан,"Санкт-Петербург, ул. Малая Конюшенная 14","Пн–Чт: 12:00 — 23:00, Пт–Сб: 12:00 — 00:00, Вс: 12:00 — 23:00",7.8,Средний чек 1800 р. без напитков,
55,Tetto,ресторан,"Санкт-Петербург, Большой проспект П.С. 84","Пн–Чт: 12:00 — 00:00, Пт–Сб: 12:00 — 01:00, Вс: 12:00 — 12:00",8.9,Средний чек 1600 р. без напитков,
56,Peperoni,ресторан,"Санкт-Петербург, ул. Смоленская 10",Пн–Вс: 11:00 — 23:00,7.9,Средний чек 1400 р. без напитков,
57,Faces Cafe,ресторан,"Санкт-Петербург, Морской проспект 29",Пн–Вс: 08:30 — 23:00,6.6,Средний чек 2300 р. без напитков,
58,Little Italy,ресторан,"Санкт-Петербург, ул. Итальянская 10/5","Пн–Чт: 11:00 — 23:00, Пт–Сб: 11:00 — 00:00, Вс: 11:00 — 23:00",7.0,Средний чек 1300 р. без напитков,
59,Chelentano,ресторан,"Санкт-Петербург, бульвар Октябрьский 5","Пн–Чт: 08:00 — 01:00, Пт–Сб: 08:00 — 04:00, Вс: 08:00 — 01:00",8.3,Средний чек 1400 р. без напитков,
60,Марчеллис,ресторан,"Санкт-Петербург, пр. Космонавтов 39/27","Пн–Чт: 12:00 — 23:00, Пт–Сб: 12:00 — 00:00, Вс: 12:00 — 23:00",7.2,Средний чек 1200 р. без напитков,
61,Mircuccio Osteria,ресторан,"Санкт-Петербург, ул. Моисеенко 27",Пн–Вс: 12:00 — 23:00,8.1,Средний чек 2000 р. без напитков,
62,Hype’s Pasta & Lounge,ресторан,"Санкт-Петербург, Получите расширенный доступ к странице",,,Средний чек 1800 р. без напитков,
63,Ragu,ресторан,"Санкт-Петербург, Кадетская линия В. О. 9",Пн–Вс: C 11:00 — до последнего гостя,8.0,Средний чек 1700 р. без напитков,
64,CHE CAFE,ресторан,"Санкт-Петербург, пер. Гривцова 26","Пн–Чт: 09:00 — 23:00, Пт: 09:00 — 02:00, Сб: 10:00 — 02:00, Вс: 10:00 — 23:00",0.0,Средний чек 1200 р. без напитков,
65,Percorso,ресторан,"Санкт-Петербург, Вознесенский проспект 1","Пн: Выходной, Вт–Вс: 17:00 — 00:00",8.5,Средний чек 3600 р. без напитков,
66,Sapori di Italia,ресторан,"Санкт-Петербург, наб. Мытнинская 7/5",Пн–Вс: 11:00 — 23:00,8.2,Средний чек 1800 р. без напитков,
67,Il Milanese,ресторан,"Санкт-Петербург, пр. Литейный 7","Пн–Пт: 12:00 — 23:00, Сб–Вс: 13:00 — 23:00",9.1,Средний чек 1400 р. без напитков,
68,Mina,ресторан,"Санкт-Петербург, Спортивная ул. 2","Пн–Пт: 09:00 — 00:00, Сб–Вс: 10:00 — 00:00",7.1,Средний чек 2800 р. без напитков,
69,Bronte,ресторан,"Санкт-Петербург, Получите расширенный доступ к странице",,,Средний чек 1600 р. без напитков,
70,Sapori di Italia,ресторан,"Санкт-Петербург, ул. Итальянская 11","Пн–Чт: 11:00 — 00:00, Пт–Сб: 11:00 — 01:00, Вс: 11:00 — 00:00",8.9,Средний чек 1300 р. без напитков,
71,CHE CAFE,ресторан,"Санкт-Петербург, Брантовская дорога 3",Пн–Вс: 11:00 — 22:00,7.8,Средний чек 1200 р. без напитков,
72,Sono Italiano,ресторан,"Санкт-Петербург, ул. Большая Зеленина 34",Пн–Вс: 11:00 — 23:00,0.0,Средний чек 1350 р. без напитков,
73,Сыроварня,ресторан,"Санкт-Петербург, пер. Ковенский 5","Пн–Чт: 09:00 — 23:00, Пт–Сб: 09:00 — 00:00, Вс: 09:00 — 23:00",8.7,Средний чек 2850 р. без напитков,
74,Ponte,ресторан,"Санкт-Петербург, ул. Пестеля 13-15б","Пн–Чт: 09:00 — 23:00, Пт–Сб: 09:00 — 01:00, Вс: 09:00 — 23:00",6.0,Средний чек 1300 р. без напитков,
75,La Biga Italian bistro,ресторан,"Санкт-Петербург, ул. Гороховая 16/71","Пн–Чт: 09:00 — 23:00, Пт–Сб: 09:00 — 00:00, Вс: 09:00 — 23:00",8.8,Средний чек 1500 р. без напитков,
76,Uva,ресторан,"Санкт-Петербург, ул. Социалистическая 21",Пн–Вс: 10:00 — 23:00,8.8,Средний чек 1800 р. без напитков,
77,Ognivo,ресторан,"Санкт-Петербург, Малый проспект В.О. 57","Пн–Пт: 08:30 — 00:00, Сб–Вс: 09:00 — 00:00",7.1,Средний чек 1800 р. без напитков,
78,Nomad,ресторан,"Санкт-Петербург, ул. Ленина 18/49","Пн–Чт: 11:00 — 00:00, Пт–Сб: 11:00 — 02:00, Вс: 11:00 — 00:00",7.6,Средний чек 2300 р. без напитков,
79,Bona Capona,ресторан,"Санкт-Петербург, пр. Ветеранов 105",Пн–Вс: C 11:00 — до последнего гостя,9.0,Средний чек 1200 р. без напитков,
80,Primi,ресторан,"Санкт-Петербург, Пионерская ул. 1",,9.9,Средний чек 1750 р. без напитков,
81,Jerome,ресторан,"Санкт-Петербург, ул. Б. Морская 25/11",Пн–Вс: 09:00 — 00:00,8.0,Средний чек 3000 р. без напитков,
82,Toscana Grill,ресторан,"Санкт-Петербург, наб. канала Грибоедова 64",Пн–Вс: 10:00 — 00:00,8.8,Средний чек 1600 р. без напитков,
83,Mario Trattoria,ресторан,"Санкт-Петербург, пр. Адмиралтейский 8",Пн–Вс: 08:00 — 23:00,9.1,Средний чек 2000 р. без напитков,
84,Ponte,ресторан,"Санкт-Петербург, ул. Рубинштейна 15-17","Пн–Чт: 09:00 — 23:00, Пт–Сб: 09:00 — 01:00, Вс: 09:00 — 23:00",6.5,Средний чек 1600 р. без напитков,
85,МА,ресторан,"Санкт-Петербург, Московский пр. 200",Пн–Вс: 10:00 — 23:00,8.5,Средний чек 1500 р. без напитков,
86,Gianni,ресторан,"Санкт-Петербург, Получите расширенный доступ к странице",,,Средний чек 1200 р. без напитков,
87,МА,ресторан,"Санкт-Петербург, ул. Рубинштейна 7",Пн–Вс: 10:00 — 23:00,8.0,Средний чек 1500 р. без напитков,
88,Felichito,ресторан,"Санкт-Петербург, пр-т Вознесенский 28","Пн–Чт: 11:00 — 23:00, Пт–Сб: 11:00 — 00:00, Вс: 11:00 — 23:00",9.7,Средний чек 1000 р. без напитков,
89,Bona Capona,ресторан,"Санкт-Петербург, Пулковское шоссе 60/1",Пн–Вс: 10:00 — 22:00,0.0,Средний чек 1200 р. без напитков,
90,Lorenzo Medici,ресторан,"Санкт-Петербург, Получите расширенный доступ к странице",,,Средний чек 1500 р. без напитков,
91,Раскольников,ресторан,"Санкт-Петербург, пр-т Владимирский 19",Пн–Вс: 12:00 — 23:00,8.6,Средний чек 1200 р. без напитков,
92,Cafe People,ресторан,"Санкт-Петербург, пр-т Загородный 15","Пн–Чт: 12:00 — 00:00, Пт–Сб: 12:00 — 01:00, Вс: 12:00 — 23:00",8.3,Средний чек 1200 р. без напитков,
93,Antico,ресторан,"Санкт-Петербург, ул. Грибалевой 7",Пн–Вс: 12:00 — 21:00,7.2,Средний чек 1300 р. без напитков,
94,Москва,ресторан,"Санкт-Петербург, Дунайский пр. 21","Пн–Чт: Выходной, Пт–Вс: 18:00 — 05:00",7.3,Средний чек 1200 р. без напитков,
95,Фабрика,ресторан,"Санкт-Петербург, пр. Заневский 38","Пн–Чт: Выходной, Пт–Вс: 18:00 — 05:00",7.2,Средний чек 1200 р. без напитков,
96,Лето,ресторан,"Санкт-Петербург, пр-т Просвещения 80к3",Пн–Вс: 12:00 — 23:00,8.1,Средний чек 1000 р. без напитков,
97,Гагарин,ресторан,"Санкт-Петербург, пр. Испытателей 37","Пн–Чт: Выходной, Пт–Вс: 18:00 — 05:00",7.3,Средний чек 1200 р. без напитков,
98,AEffect,ресторан,"Санкт-Петербург, ул. Ждановская 45",Пн–Вс: 13:00 — 23:00,7.8,Средний чек 2500 р. без напитков,
99,Bona Capona,ресторан,"Санкт-Петербург, пр. Московский д. 179",Пн–Вс: C 09:00 — до последнего гостя,8.1,Средний чек 1200 р. без напитков,
100,Дитай,ресторан,"Санкт-Петербург, пр. Лесной 4","Пн–Чт: 12:30 — 23:00, Пт–Вс: 12:30 — 00:00",8.4,Средний чек 1300 р. без напитков,
101,Tiger Lily,ресторан,"Санкт-Петербург, Получите расширенный доступ к странице",,,Средний чек 1000 р. без напитков,
102,Малатан,ресторан,"Санкт-Петербург, пр. Невский 128",Пн–Вс: 11:00 — 23:00,9.8,Средний чек 900 р. без напитков,
103,Ossu,ресторан,"Санкт-Петербург, ул. Некрасова 21","Пн–Чт: 12:00 — 23:00, Пт–Сб: 12:00 — 00:00, Вс: 12:00 — 23:00",9.0,Средний чек 1400 р. без напитков,
104,Малатан,ресторан,"Санкт-Петербург, Казанская ул. 38",Пн–Вс: 11:00 — 23:00,9.6,Средний чек 500 р. без напитков,
105,Ми Фан,ресторан,"Санкт-Петербург, ул. Беринга 27 корп. 1",Пн–Вс: 12:00 — 23:00,9.1,Средний чек 850 р. без напитков,
106,Hagao,ресторан,"Санкт-Петербург, наб. Адмиралтейского канала 2",Пн–Вс: 11:00 — 23:00,8.7,Средний чек 1100 р. без напитков,
107,Bao Chao,ресторан,"Санкт-Петербург, Планерная ул. 59",Пн–Вс: 12:00 — 22:00,9.9,Средний чек 700 р. без напитков,
108,Mekong,ресторан,"Санкт-Петербург, ул. Садовая 42",Пн–Вс: 12:00 — 23:00,8.5,Средний чек 1500 р. без напитков,
109,Юми,ресторан,"Санкт-Петербург, ул. Разъезжая 10",Пн–Вс: 11:30 — 23:30,8.9,Средний чек 900 р. без напитков,
110,Нихао Москва-Пекин,ресторан,"Санкт-Петербург, Аптекарская наб. 8",Пн–Вс: 11:00 — 22:00,8.6,Средний чек 2000 р. без напитков,
111,Тан Жен,ресторан,"Санкт-Петербург, пр. Ленинский 160",Пн–Вс: 12:00 — 23:00,8.6,Средний чек 800 р. без напитков,
112,Ramen Shifu,ресторан,"Санкт-Петербург, В.О. 8-я линия 15",Пн–Вс: 11:00 — 21:45,8.5,Средний чек 800 р. без напитков,
113,Цзао Ван,ресторан,"Санкт-Петербург, ул. Перекопская 5",Пн–Вс: 12:00 — 00:00,8.2,Средний чек 800 р. без напитков,
114,PanTao,ресторан,"Санкт-Петербург, ул. Гороховая 31литА",Пн–Вс: 12:00 — 23:00,8.6,Средний чек 1100 р. без напитков,
115,Great Meal,ресторан,"Санкт-Петербург, В.О. 1-я линия 34",Пн–Вс: 12:00 — 23:00,8.6,Средний чек 1300 р. без напитков,
116,Green 28,ресторан,"Санкт-Петербург, ул. Большая Зеленина 28","Пн–Пт: 09:00 — 23:00, Сб–Вс: 10:00 — 23:00",8.4,Средний чек 1300 р. без напитков,
117,Made in,ресторан,"Санкт-Петербург, ул. Школьная 14",Пн–Вс: 12:00 — 23:00,8.5,Средний чек 1300 р. без напитков,
118,Made In China,ресторан,"Санкт-Петербург, Большая Морская ул. 35","Пн: 11:00 — 01:00, Вт: 11:00 — 23:00, Ср–Чт: 12:00 — 23:00, Пт: 12:00 — 01:00, Сб–Вс: 11:00 — 01:00",7.8,Средний чек 1300 р. без напитков,
119,Свет Востока,ресторан,"Санкт-Петербург, ул. Курляндская 36",Пн–Вс: 12:00 — 00:00,8.5,Средний чек 500 р. без напитков,
120,Чуфальня,ресторан,"Санкт-Петербург, ул. Садовая 28-30к27",Пн–Вс: 10:00 — 23:00,8.6,Средний чек 700 р. без напитков,
121,Mamahuhu,ресторан,"Санкт-Петербург, ул. Б. Пушкарская 34",Пн–Вс: 12:00 — 23:00,7.2,Средний чек 1200 р. без напитков,
122,ОгоХого,ресторан,"Санкт-Петербург, В.О. 1-я линия 32",Пн–Вс: 12:00 — 22:00,8.1,Средний чек 550 р. без напитков,
123,Ресторан сычуаньской кухни,ресторан,"Санкт-Петербург, ул. Нахимова 20",Пн–Вс: 11:00 — 23:00,8.0,Средний чек 1000 р. без напитков,
124,Китай-город,ресторан,"Санкт-Петербург, ул. 3-я Советская 5",Пн–Вс: 11:00 — 23:00,7.3,Средний чек 1000 р. без напитков,
125,Хаочи,ресторан,"Санкт-Петербург, пр. Английский 48",Пн–Вс: 11:30 — 00:00,7.7,Средний чек 700 р. без напитков,
126,Макао,ресторан,"Санкт-Петербург, ул. Кораблестроителей 32/1",Пн–Вс: 11:30 — 23:30,7.5,Средний чек 900 р. без напитков,
127,Певческая башня,ресторан,"Санкт-Петербург, г. Пушкин, пер. Лицейский 7","Пн–Чт: 12:00 — 23:00, Пт–Сб: 12:00 — 01:00, Вс: 12:00 — 23:00",7.1,Средний чек 1300 р. без напитков,
128,Цзао Ван,ресторан,"Санкт-Петербург, пр. Ленинский 114",Пн–Вс: 12:00 — 00:00,6.8,Средний чек 800 р. без напитков,
129,Asia лапша,ресторан,"Санкт-Петербург, Большой пр. П.С. 18","Пн–Чт: 10:00 — 01:00, Пт–Сб: 10:00 — 02:00, Вс: 10:00 — 01:00",6.2,Средний чек 1500 р. без напитков,
130,Китай-город,ресторан,"Санкт-Петербург, ул. Мытнинская 12",Пн–Вс: 11:30 — 23:30,7.0,Средний чек 1000 р. без напитков,
131,Мулан,ресторан,"Санкт-Петербург, В.О. пр. Малый 40","Пн–Чт: 11:00 — 23:00, Пт: 11:00 — 00:00, Сб: 12:00 — 00:00, Вс: 12:00 — 23:00",6.8,Средний чек 800 р. без напитков,
132,See Asia,ресторан,"Санкт-Петербург, Лиговский проспект 174",Пн–Вс: 12:00 — 23:00,6.7,Средний чек 1700 р. без напитков,
133,Фу Ченг,ресторан,"Санкт-Петербург, пр. Косыгина 34/1",Пн–Вс: 12:00 — 00:00,7.0,Средний чек 900 р. без напитков,
134,Чуфальня,ресторан,"Санкт-Петербург, ул. Гжатская 22",Пн–Вс: 10:00 — 22:00,6.5,Средний чек 500 р. без напитков,
135,Чайный дом по-восточному,ресторан,"Санкт-Петербург, ул. Александра Невского 9",Пн–Вс: 12:00 — 23:30,6.6,Средний чек 1100 р. без напитков,
136,Хаочи,ресторан,"Санкт-Петербург, ул. Декабристов 27",Пн–Вс: 11:30 — 00:00,6.4,Средний чек 700 р. без напитков,
137,Чайный дом по-восточному,ресторан,"Санкт-Петербург, пр. Новочеркасский 16/12",Пн–Вс: 12:00 — 23:30,5.8,Средний чек 1100 р. без напитков,
138,Kona,ресторан,"Санкт-Петербург, Большой проспект П.С. 13/4","Пн–Чт: 13:00 — 00:00, Пт–Сб: 13:00 — 01:00, Вс: 13:00 — 00:00",5.1,Средний чек 1400 р. без напитков,
139,Дуду лапша,ресторан,"Санкт-Петербург, пр. Добролюбова 23",Пн–Вс: 11:30 — 22:30,0.0,Средний чек 1000 р. без напитков,
140,Вы Дао вкус Азии,ресторан,"Санкт-Петербург, ул. 7-я Красноармейская 5","Пн–Пт: 11:00 — 22:30, Сб–Вс: 12:00 — 22:30",5.5,Средний чек 900 р. без напитков,
141,Thai Fun,ресторан,"Санкт-Петербург, ул. Киевская 12",Пн–Вс: 12:00 — 23:00,0.0,Средний чек 1200 р. без напитков,
142,+86 китайская кухня,ресторан,"Санкт-Петербург, ул. Марата 29",Пн–Вс: 11:00 — 22:00,0.0,Средний чек 500 р. без напитков,
143,Mai Thai,ресторан,"Санкт-Петербург, Мурино, Петровский б-р 2/1",Пн–Вс: 11:00 — 23:00,6.0,Средний чек 1100 р. без напитков,
144,A May,ресторан,"Санкт-Петербург, наб. реки Фонтанки 50",Пн–Вс: 10:00 — 22:00,0.0,Средний чек 300 р. без напитков,
145,Why.China,ресторан,"Санкт-Петербург, Казанская ул. 23",Пн–Вс: 11:00 — 21:00,7.5,Средний чек 600 р. без напитков,
146,CityRestGo,ресторан,"Санкт-Петербург, ул. Чайковского 38/9",Пн–Вс: 12:00 — 23:00,0.0,Средний чек 900 р. без напитков,
147,Proroll,ресторан,"Санкт-Петербург, Добавить отзыв",Пн–Вс: 11:00 — 23:00,0.0,Средний чек 600 р. без напитков,
148,Тайвань,ресторан,"Санкт-Петербург, Лермонтовский пр. 30",Пн–Вс: 12:00 — 22:30,0.0,Средний чек 1200 р. без напитков,
149,TopEr,ресторан,"Санкт-Петербург, ул. Типанова 29",Пн–Вс: 12:00 — 23:30,0.0,Средний чек 1300 р. без напитков,
150,Русская рюмочная № 1,ресторан,"Санкт-Петербург, б-р Конногвардейский 4",Пн–Вс: 12:00 — 00:00,8.8,Средний чек 3500 р. без напитков,
151,Наследники,ресторан,"Санкт-Петербург, пр. Каменноостровский 11","Пн–Чт: 11:00 — 23:00, Пт–Сб: C 11:00 — до последнего гостя, Вс: 11:00 — 23:00",7.4,Средний чек 1500 р. без напитков,
152,Пьяна ель,ресторан,"Санкт-Петербург, ул. Пестеля 21",Пн–Вс: 16:00 — 02:00,7.2,Средний чек 800 р. без напитков,
153,L'eclat,ресторан,"Санкт-Петербург, ул. Пестеля 1/12",Пн–Вс: 07:00 — 23:00,7.8,Средний чек 1500 р. без напитков,
154,La Familia,ресторан,"Санкт-Петербург, наб. канала Крюкова 27",Пн–Вс: 13:00 — 23:00,9.9,Средний чек 1550 р. без напитков,
155,Комель,ресторан,"Санкт-Петербург, ул. Караванная 2",Пн–Вс: 11:00 — 23:00,8.0,Средний чек 1000 р. без напитков,
156,Поминальная трапеза,ресторан,"Санкт-Петербург, пр. Кондратьевский 62 корп.1",Пн–Вс: 11:00 — 23:30,0.0,Средний чек 800 р. без напитков,
157,Руки ВВерх!,ресторан,"Санкт-Петербург, Получите расширенный доступ к странице",,,Средний чек 1800 р. без напитков,
158,Совиньон,ресторан,"Санкт-Петербург, Получите расширенный доступ к странице",,,Средний чек 2500 р. без напитков,
159,Гуси-лебеди,ресторан,"Санкт-Петербург, пр. Коломяжский 19/2","Пн–Чт: 12:00 — 23:00, Пт–Сб: 12:00 — 02:00, Вс: 12:00 — 23:00",8.3,Средний чек 1100 р. без напитков,
160,Штакеншнейдер,ресторан,"Санкт-Петербург, ул. Миллионная 10",Пн–Вс: 08:00 — 23:00,8.8,Средний чек 2700 р. без напитков,
161,Дети на кухне,ресторан,"Санкт-Петербург, ул. Решетникова 12",Пн–Вс: 11:00 — 22:00,0.0,Средний чек 1200 р. без напитков,
