,name,category,address,hours,rating,avg_bill,middle_coffee_cup
2312,Humpty Dumpty,Кофейня,"Санкт - Петербург , 1 - я Советская , 6 , корп.2",пн - вс 10.00 – 20.00,,До 700 рублей средний чек,
2313,Humpty Dumpty,Кофейня,"Санкт - Петербург , Белы Куна , 3 , ТРК « Международный »",пн - вс 10.00 – 22.00,,,
2314,Hunt,Ресторан,"Санкт - Петербург , Рубинштейна , 13","пн - чт , вс 10.00 – 0.00 , пт - сб 10.00 – 2.00",,700 – 1700 рублей средний чек,
2315,Husky Bar,Ресторан,"Санкт - Петербург , 4 - я Красноармейская , 12 / 11","пн - чт , вс 16.00 – 2.00 , пт - сб 16.00 – 4.00",,До 700 рублей средний чек,
2316,Hustle House,Кофейня,"Санкт - Петербург , Курская , 28",пн - сб 9.00 – 21.00,,,
2317,Hvoy,Ресторан,"Санкт - Петербург , Всеволожский р - н , дер.Медный Завод , отель We Lodge",пн - вс 9.30 – 22.00,,Больше 3000 рублей средний чек,
2318,Hype,Ресторан,"Санкт - Петербург , Полтавский пр., 2","пн - чт , вс 12.00 – 23.00 , пт - сб 12.00 – 1.00",,700 – 1700 рублей средний чек,
2319,Hype ' s,Ресторан,"Санкт - Петербург , Суворовский просп., 15",пн - вс 10.00 – 23.00,,1700 – 3000 рублей средний чек,
2320,I Believe,Бар,"Санкт - Петербург , Зверинская , 2 / 5","пн - пт 13.00 – 0.00 , сб - вс 14.00 и до последнего посетителя",,700 – 1700 рублей средний чек,
2321,Igrik Bar & Yoga,Бар,"Санкт - Петербург , Пионерская , 2",вт - вс 9.00 – 23.00,,700 – 1700 рублей средний чек,
2322,Ikigai,Кафе,"Санкт - Петербург , Ильюшина , 14",пн - вс 12.00 – 21.00,,До 700 рублей средний чек,
2323,Ikigai,Кафе,"Санкт - Петербург , Коломяжский просп., 17 , корп.1 , ТРК « Сити - молл »",пн - вс 12.00 – 21.00,,700 – 1700 рублей средний чек,
2324,Il gusto,Ресторан,"Санкт - Петербург , Всеволожский р - н , Кудрово , Европейский просп., 8",вт - вс 13.00 – 23.00,,До 700 рублей средний чек,
2325,Il lago dei cigni,Ресторан,"Санкт - Петербург , Крестовский просп., 21 , литера Б",пн - вс 12.00 – 23.00,,Больше 3000 рублей средний чек,
