name,category,address,hours,rating,avg_bill,middle_coffee_cup
Bolshecoffee Roasters,кофейня,"Санкт-Петербург, ул. Марата 22-24",Пн–Вс: 09:00 — 21:00,8,Средний чек 150 р. без напитков,
Кофелософия,кофейня,"Санкт-Петербург, наб. канала Грибоедова 106",Пн–Вс: 09:00 — 21:00,8.3,Средний чек 200 р. без напитков,
Характер кофе,кофейня,"Санкт-Петербург, наб. Фонтанки 109","Пн–Пт: 09:00 — 21:00, Сб: 10:00 — 21:00, Вс: 10:00 — 20:00",8,Средний чек 300 р. без напитков,
Kiosk 59,кофейня,"Санкт-Петербург, наб. реки Фонтанки 59","Пн–Пт: 08:00 — 22:00, Сб–Вс: 09:00 — 22:00",8.2,Средний чек 200 р. без напитков,
Verle,кофейня,"Санкт-Петербург, Каменноостровский проспект 25/2",Пн–Вс: 10:00 — 21:00,7.3,Средний чек 350 р. без напитков,
Мой хлебный,кофейня,"Санкт-Петербург, пр. Большевиков 15",Пн–Вс: 09:00 — 21:00,7.8,Средний чек 100 р. без напитков,
Hogan Coffee,кофейня,"Санкт-Петербург, пер. Биржевой 4","Пн–Пт: 09:00 — 21:00, Сб: 10:00 — 20:00, Вс: Выходной",8.1,Средний чек 200 р. без напитков,
Coffee 22,кофейня,"Санкт-Петербург, ул. Казанская 22","Пн–Пт: 08:30 — 23:00, Сб–Вс: 10:00 — 23:00",7.4,Средний чек 1400 р. без напитков,
Mr. Black,кофейня,"Санкт-Петербург, ул. Гороховая 25","Пн–Пт: 08:00 — 23:00, Сб–Вс: 09:00 — 23:00",6.6,Средний чек 200 р. без напитков,
Fan of Donuts,кофейня,"Санкт-Петербург, ул. Рубинштейна 26а",Пн–Вс: 09:00 — 22:00,8,Средний чек 200 р. без напитков,
Музей кофе,кофейня,"Санкт-Петербург, наб. Робеспьера 14","Пн: Выходной, Вт–Вс: 11:00 — 20:00",7.8,Средний чек 200 р. без напитков,
"Знакомьтесь, Джо!",кофейня,"Санкт-Петербург, пр. Литейный 57",Пн–Вс: 10:00 — 21:00,7.5,Средний чек 200 р. без напитков,
Кофеварим,кофейня,"Санкт-Петербург, пр. Энгельса 124",Пн–Вс: 08:00 — 23:00,7.5,Средний чек 200 р. без напитков,
Medici,ресторан,"Санкт-Петербург, пр. Медиков 10к1","Пн–Чт: 12:00 — 23:00, Пт–Сб: 12:00 — 01:00, Вс: 12:00 — 23:00",8.5,Средний чек 1400 р. без напитков,
Ripasso,ресторан,"Санкт-Петербург, ул. Большая Монетная 16","Пн–Чт: 11:00 — 23:00, Пт–Сб: 11:00 — 00:00, Вс: 11:00 — 23:00",8,Средний чек 1500 р. без напитков,
Amo,ресторан,"Санкт-Петербург, ул. Ропшинская 1/32",Пн–Вс: C 10:00 — до последнего гостя,8.3,Средний чек 1800 р. без напитков,
Romeo's,ресторан,"Санкт-Петербург, пр. Римского-Корсакова 43","Пн–Чт: 11:00 — 23:00, Пт–Сб: 11:00 — 00:00, Вс: 11:00 — 23:00",7.5,Средний чек 1800 р. без напитков,
Arancino,ресторан,"Санкт-Петербург, ул. Малая Конюшенная 14","Пн–Чт: 12:00 — 23:00, Пт–Сб: 12:00 — 00:00, Вс: 12:00 — 23:00",7.8,Средний чек 1800 р. без напитков,
Tetto,ресторан,"Санкт-Петербург, Большой проспект П.С. 84","Пн–Чт: 12:00 — 00:00, Пт–Сб: 12:00 — 01:00, Вс: 12:00 — 12:00",8.9,Средний чек 1600 р. без напитков,
Peperoni,ресторан,"Санкт-Петербург, ул. Смоленская 10",Пн–Вс: 11:00 — 23:00,7.9,Средний чек 1400 р. без напитков,
Faces Cafe,ресторан,"Санкт-Петербург, Морской проспект 29",Пн–Вс: 08:30 — 23:00,6.6,Средний чек 2300 р. без напитков,
Little Italy,ресторан,"Санкт-Петербург, ул. Итальянская 10/5","Пн–Чт: 11:00 — 23:00, Пт–Сб: 11:00 — 00:00, Вс: 11:00 — 23:00",7,Средний чек 1300 р. без напитков,
Chelentano,ресторан,"Санкт-Петербург, бульвар Октябрьский 5","Пн–Чт: 08:00 — 01:00, Пт–Сб: 08:00 — 04:00, Вс: 08:00 — 01:00",8.3,Средний чек 1400 р. без напитков,
Марчеллис,ресторан,"Санкт-Петербург, пр. Космонавтов 39/27","Пн–Чт: 12:00 — 23:00, Пт–Сб: 12:00 — 00:00, Вс: 12:00 — 23:00",7.2,Средний чек 1200 р. без напитков,
Mircuccio Osteria,ресторан,"Санкт-Петербург, ул. Моисеенко 27",Пн–Вс: 12:00 — 23:00,8.1,Средний чек 2000 р. без напитков,
Hype’s Pasta & Lounge,ресторан,"Санкт-Петербург, Получите расширенный доступ к странице",,,Средний чек 1800 р. без напитков,
Ragu,ресторан,"Санкт-Петербург, Кадетская линия В. О. 9",Пн–Вс: C 11:00 — до последнего гостя,8,Средний чек 1700 р. без напитков,
CHE CAFE,ресторан,"Санкт-Петербург, пер. Гривцова 26","Пн–Чт: 09:00 — 23:00, Пт: 09:00 — 02:00, Сб: 10:00 — 02:00, Вс: 10:00 — 23:00",0,Средний чек 1200 р. без напитков,
Percorso,ресторан,"Санкт-Петербург, Вознесенский проспект 1","Пн: Выходной, Вт–Вс: 17:00 — 00:00",8.5,Средний чек 3600 р. без напитков,
Sapori di Italia,ресторан,"Санкт-Петербург, наб. Мытнинская 7/5",Пн–Вс: 11:00 — 23:00,8.2,Средний чек 1800 р. без напитков,
Il Milanese,ресторан,"Санкт-Петербург, пр. Литейный 7","Пн–Пт: 12:00 — 23:00, Сб–Вс: 13:00 — 23:00",9.1,Средний чек 1400 р. без напитков,
Mina,ресторан,"Санкт-Петербург, Спортивная ул. 2","Пн–Пт: 09:00 — 00:00, Сб–Вс: 10:00 — 00:00",7.1,Средний чек 2800 р. без напитков,
Bronte,ресторан,"Санкт-Петербург, Получите расширенный доступ к странице",,,Средний чек 1600 р. без напитков,
Sapori di Italia,ресторан,"Санкт-Петербург, ул. Итальянская 11","Пн–Чт: 11:00 — 00:00, Пт–Сб: 11:00 — 01:00, Вс: 11:00 — 00:00",8.9,Средний чек 1300 р. без напитков,
CHE CAFE,ресторан,"Санкт-Петербург, Брантовская дорога 3",Пн–Вс: 11:00 — 22:00,7.8,Средний чек 1200 р. без напитков,
Sono Italiano,ресторан,"Санкт-Петербург, ул. Большая Зеленина 34",Пн–Вс: 11:00 — 23:00,0,Средний чек 1350 р. без напитков,
Сыроварня,ресторан,"Санкт-Петербург, пер. Ковенский 5","Пн–Чт: 09:00 — 23:00, Пт–Сб: 09:00 — 00:00, Вс: 09:00 — 23:00",8.7,Средний чек 2850 р. без напитков,
Ponte,ресторан,"Санкт-Петербург, ул. Пестеля 13-15б","Пн–Чт: 09:00 — 23:00, Пт–Сб: 09:00 — 01:00, Вс: 09:00 — 23:00",6,Средний чек 1300 р. без напитков,
La Biga Italian bistro,ресторан,"Санкт-Петербург, ул. Гороховая 16/71","Пн–Чт: 09:00 — 23:00, Пт–Сб: 09:00 — 00:00, Вс: 09:00 — 23:00",8.8,Средний чек 1500 р. без напитков,
Uva,ресторан,"Санкт-Петербург, ул. Социалистическая 21",Пн–Вс: 10:00 — 23:00,8.8,Средний чек 1800 р. без напитков,
Ognivo,ресторан,"Санкт-Петербург, Малый проспект В.О. 57","Пн–Пт: 08:30 — 00:00, Сб–Вс: 09:00 — 00:00",7.1,Средний чек 1800 р. без напитков,
Nomad,ресторан,"Санкт-Петербург, ул. Ленина 18/49","Пн–Чт: 11:00 — 00:00, Пт–Сб: 11:00 — 02:00, Вс: 11:00 — 00:00",7.6,Средний чек 2300 р. без напитков,
Bona Capona,ресторан,"Санкт-Петербург, пр. Ветеранов 105",Пн–Вс: C 11:00 — до последнего гостя,9,Средний чек 1200 р. без напитков,
Primi,ресторан,"Санкт-Петербург, Пионерская ул. 1",,9.9,Средний чек 1750 р. без напитков,
Jerome,ресторан,"Санкт-Петербург, ул. Б. Морская 25/11",Пн–Вс: 09:00 — 00:00,8,Средний чек 3000 р. без напитков,
Toscana Grill,ресторан,"Санкт-Петербург, наб. канала Грибоедова 64",Пн–Вс: 10:00 — 00:00,8.8,Средний чек 1600 р. без напитков,
Mario Trattoria,ресторан,"Санкт-Петербург, пр. Адмиралтейский 8",Пн–Вс: 08:00 — 23:00,9.1,Средний чек 2000 р. без напитков,
