name,category,address,hours,rating,avg_bill,middle_coffee_cup
Пельмения,Ресторан,"Санкт - Петербург , наб.реки Фонтанки , 25",пн - вс 11.00 – 23.00,8.5,До 700 рублей средний чек,
Ботаника,Ресторан,"Санкт - Петербург , Пестеля , 7",пн - вс 11.00 – 0.00,8.5,700 – 1700 рублей средний чек,
R14,Ресторан,"Санкт - Петербург , Академика Павлова , 5 , ТОЦ River House","пн - чт , вс 11.00 – 23.00 , пт - сб 11.00 – 0.00",8.4,1700 – 3000 рублей средний чек,
Graf - in,Ресторан,"Санкт - Петербург , Конногвардейский б - р , 4","пн - чт , вс 11.00 – 0.00 , пт - сб 11.00 – 2.00",8.4,1700 – 3000 рублей средний чек,
Smoke BBQ,Бар,"Санкт - Петербург , Рубинштейна , 11","пн - чт , вс 12.00 – 23.00 , пт - сб 12.00 – 0.00",8.4,1700 – 3000 рублей средний чек,
Бричмула,Ресторан,"Санкт - Петербург , Комендантский просп., 13 , корп.1",круглосуточно,8.4,700 – 1700 рублей средний чек,
Entrée,Ресторан,"Санкт - Петербург , Никольская пл., 6",пн - вс 10.00 – 23.00,8.4,1700 – 3000 рублей средний чек,
Red.Steak & Wine,Ресторан,"Санкт - Петербург , Ленина , 9",пн - вс 12.00 – 23.00,8.4,1700 – 3000 рублей средний чек,
Joly Woo,Ресторан,"Санкт - Петербург , Восстания , 12",пн - вс 11.00 – 23.00,8.3,До 700 рублей средний чек,
O ! Cuba,Ресторан,"Санкт - Петербург , Рубинштейна , 36","пн - вт , вс 11.00 – 23.00 , ср - сб 11.00 – 1.00",8.3,700 – 1700 рублей средний чек,
Кинг - понг,Ресторан,"Санкт - Петербург , Б.Морская , 16",пн - вс 12.00 – 0.00,8.3,700 – 1700 рублей средний чек,
Hamlet + Jacks,Ресторан,"Санкт - Петербург , Волынский пер., 2","пн - чт , вс 13.00 – 23.00 , пт - сб 13.00 – 0.00",8.2,700 – 1700 рублей средний чек,
Jérôme,Ресторан,"Санкт - Петербург , Б.Морская , 25",пн - вс 9.00 – 0.00,8.2,1700 – 3000 рублей средний чек,
Русская рюмочная № 1,Ресторан,"Санкт - Петербург , Конногвардейский б - р , 4",пн - вс 12.00 – 0.00,8.2,1700 – 3000 рублей средний чек,
Pita ' s,Фастфуд,"Санкт - Петербург , Гороховая , 32",пн - вс 11.00 – 23.00,8.2,До 700 рублей средний чек,
I ’ m Thankful for Today,Бар,"Санкт - Петербург , Гороховая , 24","пн - чт 10.00 – 1.00 , пт - сб 10.00 – 2.00 , вс 11.00 – 1.00",8.2,700 – 1700 рублей средний чек,
Тандур,Ресторан,"Санкт - Петербург , Адмиралтейский просп., 10",пн - вс 12.00 – 23.00,8.2,700 – 1700 рублей средний чек,
Capuletti,Ресторан,"Санкт - Петербург , Большой просп.П.С., 74",пн - вс 8.00 – 2.00,8.2,1700 – 3000 рублей средний чек,
Блок,Ресторан,"Санкт - Петербург , Потемкинская , 4 , в здании « Ленинград - центра », 4 этаж",пн - вс 12.00 – 1.00,8.1,1700 – 3000 рублей средний чек,
Чехов,Ресторан,"Санкт - Петербург , Петропавловская , 4",пн - вс 12.00 – 0.00,8.1,1700 – 3000 рублей средний чек,
Mickey & Monkeys,Кафе,"Санкт - Петербург , Гороховая , 27","пн - чт , вс 10.00 – 23.00 , пт - сб 10.00 – 1.00",8.1,700 – 1700 рублей средний чек,
Dickens,Паб,"Санкт - Петербург , наб.реки Фонтанки , 108","пн , вс 12.00 – 1.00 , вт - чт 12.00 – 2.00 , пт - сб 12.00 – 3.00",8.1,1700 – 3000 рублей средний чек,
Стирка 40 °,Бар,"Санкт - Петербург , Казанская , 26",пн - вс 11.00 – 23.00,8.1,,
Dead Poets,Ресторан,"Санкт - Петербург , Жуковского , 12","пн - чт , вс 14.00 – 2.00 , пт - сб 14.00 – 8.00",8.1,700 – 1700 рублей средний чек,
Subzero,Ресторан,"Санкт - Петербург , Рубинштейна , 38","пн - чт , вс 12.00 – 0.00 , пт - сб 12.00 – 2.00",8.0,700 – 1700 рублей средний чек,
Big Wine Freaks,Бар,"Санкт - Петербург , Инструментальная , 3 , литера В","вт - чт , вс 18.00 – 1.00 , пт - сб 18.00 – 2.00",8.0,1700 – 3000 рублей средний чек,
Buterbrodsky,Бар,"Санкт - Петербург , наб.Макарова , 16",пн - вс 12.00 – 0.00,8.0,700 – 1700 рублей средний чек,
Surf Coffee x G34,Кофейня,"Санкт - Петербург , Гороховая , 34",пн - вс 8.00 – 23.00,8.0,,
Terminal,Бар,"Санкт - Петербург , Белинского , 11","пн - чт , вс 14.00 – 2.00 , пт - сб 14.00 – 6.00",8.0,,
Полторы комнаты,Бар,"Санкт - Петербург , Маяковского , 34","пн - чт , вс 18.00 – 3.00 , пт - сб 18.00 – 5.00",8.0,700 – 1700 рублей средний чек,
Сидрерия,Кафе,"Санкт - Петербург , Моховая , 30","пн - чт , вс 12.00 – 1.00 , пт - сб 12.00 – 3.00",8.0,700 – 1700 рублей средний чек,
812 / Ярумэн,Бар,"Санкт - Петербург , Жуковского , 11","пн - чт , вс 12.30 – 2.00 , пт - сб 12.30 – 4.00",8.0,700 – 1700 рублей средний чек,
Mojo,Ресторан,"Санкт - Петербург , пл.Чернышевского , 11","пн - чт 10.00 – 0.00 , пт 10.00 – 1.00 , сб 11.00 – 1.00 , вс 11.00 – 0.00",8.0,700 – 1700 рублей средний чек,
Bonch,Кофейня,"Санкт - Петербург , Б.Морская , 16","пн - пт 8.30 – 23.00 , сб 10.00 – 23.00 , вс 10.00 – 21.00",8.0,700 – 1700 рублей средний чек,
Las torres,Ресторан,"Санкт - Петербург , Невский просп., 53",пн - вс 12.00 и до последнего посетителя,8.0,1700 – 3000 рублей средний чек,
Баклажан,Ресторан,"Санкт - Петербург , Лиговский просп., 30а , ТРЦ « Галерея », 4 этаж",пн - вс 10.00 – 23.00,8.0,1700 – 3000 рублей средний чек,
O ' Hooligans,Паб,"Санкт - Петербург , Б.Конюшенная , 14","пн - чт , вс 12.00 – 1.00 , пт - сб 12.00 – 3.00",8.0,700 – 1700 рублей средний чек,
Buddha - Bar St.Petersburg,Бар,"Санкт - Петербург , Синопская наб., 78 , корп.2","вт - чт 12.00 – 0.00 , пт 12.00 – 1.00 , сб 18.00 – 1.00",8.0,Больше 3000 рублей средний чек,
Chuck,Ресторан,"Санкт - Петербург , Гороховая , 41","пн - вт 15.00 – 0.00 , ср - чт 13.00 – 1.00 , пт - сб 13.00 – 2.00 , вс 13.00 – 0.00",8.0,700 – 1700 рублей средний чек,
Probka,Ресторан,"Санкт - Петербург , Зоологический пер., 2 / 4 , БЦ « Газпром нефть »","пн - пт 9.00 – 0.00 , сб - вс 10.00 – 0.00",8.0,1700 – 3000 рублей средний чек,
Ketch Up,Ресторан,"Санкт - Петербург , Литейный просп., 59",пн - вс 11.00 – 23.00,7.9,700 – 1700 рублей средний чек,
Шаляпин,Ресторан,"Санкт - Петербург , Тверская , 12 / 15","пн - пт 9.00 – 23.00 , сб - вс 10.00 – 23.00",7.9,1700 – 3000 рублей средний чек,
Garçon,Кондитерская,"Санкт - Петербург , Невский просп., 103",пн - вс 9.00 – 21.00,7.9,700 – 1700 рублей средний чек,
Кофе на кухне,Кофейня,"Санкт - Петербург , наб.реки Фонтанки , 17","пн - чт 8.30 – 22.00 , пт - вс 10.00 – 23.00",7.9,,
Рибай,Ресторан,"Санкт - Петербург , Казанская , 3","пн - чт , вс 12.00 – 1.00 , пт - сб 12.00 – 2.00",7.9,Больше 3000 рублей средний чек,
Хачапури и вино на Правды,Ресторан,"Санкт - Петербург , Правды , 9",пн - вс 11.30 – 23.00,7.9,700 – 1700 рублей средний чек,
Тесто,Ресторан,"Санкт - Петербург , пер.Гривцова , 5 / 29",пн - вс 12.00 – 0.00,7.9,700 – 1700 рублей средний чек,
Italy на Большом,Ресторан,"Санкт - Петербург , Большой просп.П.С., 58 , галерея Apriori , 4 этаж","пн - чт , вс 11.00 – 23.00 , пт - сб 11.00 – 0.00",7.8,1700 – 3000 рублей средний чек,
Тан Жен,Ресторан,"Санкт - Петербург , Фонарный пер., 7",пн - вс 12.00 – 23.00,7.8,700 – 1700 рублей средний чек,
Jack & Chan,Ресторан,"Санкт - Петербург , Инженерная , 7","пн - чт , вс 11.00 – 0.00 , пт - сб 11.00 – 2.00",7.8,700 – 1700 рублей средний чек,
Wong Kar Wine,Ресторан,"Санкт - Петербург , наб.реки Фонтанки , 14","пн - чт , вс 12.00 – 23.00 , пт - сб 12.00 – 0.00",7.8,700 – 1700 рублей средний чек,
More,Ресторан,"Санкт - Петербург , Петровская Коса , 9 , Центральный яхт - клуб",пн - вс 13.00 и до последнего посетителя,7.7,1700 – 3000 рублей средний чек,
Мечтатели,Ресторан,"Санкт - Петербург , наб.реки Фонтанки , 11",пн - вс 8.00 – 23.00,7.7,700 – 1700 рублей средний чек,
Гости,Кондитерская,"Санкт - Петербург , М.Морская , 13",пн - вс 9.00 – 23.00,7.7,700 – 1700 рублей средний чек,
Буше,Кондитерская,"Санкт - Петербург , Разъезжая , 13",пн - вс 8.00 – 22.00,7.7,700 – 1700 рублей средний чек,
Terrassa,Винотека,"Санкт - Петербург , Казанская , 3а","пн - пт 11.00 – 0.00 , сб - вс 12.00 – 1.00",7.7,Больше 3000 рублей средний чек,
Брюссель,Гастропаб,"Санкт - Петербург , Восстания , 20",пн - вс 12.00 – 2.00,7.7,1700 – 3000 рублей средний чек,
Porto maltese,Ресторан,"Санкт - Петербург , Большой просп.В.О., 103 , корп.7 , на территории Ленэкспо",пн - вс 12.00 – 0.00,7.7,1700 – 3000 рублей средний чек,
Чердак художника,Кафе,"Санкт - Петербург , Ломоносова , 1 / 28",пн - вс 11.00 – 23.00,7.7,1700 – 3000 рублей средний чек,
Made in China,Ресторан,"Санкт - Петербург , Б.Морская , 35","пн - чт , вс 10.00 – 0.00 , пт - сб 11.00 – 2.00",7.7,700 – 1700 рублей средний чек,
Кашмир,Ресторан,"Санкт - Петербург , Б.Московская , 7",пн - вс 11.00 и до последнего посетителя,7.6,700 – 1700 рублей средний чек,
Big Liver Place,Бар,"Санкт - Петербург , Шведский пер., 2",пн - вс 18.00 – 2.00,7.6,700 – 1700 рублей средний чек,
География,Бар / Новое,"Санкт - Петербург , Рубинштейна , 5","пн - чт , вс 12.00 – 2.00 , пт - сб 12.00 – 4.00",7.6,700 – 1700 рублей средний чек,
Shannon,Паб,"Санкт - Петербург , 5 - я линия В.О., 54","пн - чт , вс 12.00 – 1.00 , пт - сб 12.00 – 3.00",7.6,700 – 1700 рублей средний чек,
Пиф - паф,Бар,"Санкт - Петербург , наб.канала Грибоедова , 31",пн - вс 11.00 – 2.00,7.6,,
La celletta,Ресторан,"Санкт - Петербург , наб.реки Фонтанки , 30","пн - чт , вс 12.00 – 0.00 , пт - сб 12.00 – 1.00",7.6,700 – 1700 рублей средний чек,
Do Immigration,Бар,"Санкт - Петербург , Восстания , 24 , пространство « Флигель »","пн - пт 17.00 – 23.00 , сб - вс 15.00 – 23.00",7.6,700 – 1700 рублей средний чек,
Kroo Café,Кафе,"Санкт - Петербург , Суворовский просп., 27","пн - чт 8.00 – 0.00 , пт 8.00 – 1.00 , сб 9.30 – 1.00 , вс 10.00 – 0.00",7.6,700 – 1700 рублей средний чек,
Град Петров Die Kneipe,Ресторан,"Санкт - Петербург , Университетская наб., 5",пн - вс 12.00 – 1.00,7.6,700 – 1700 рублей средний чек,
Serbish Meat & Fish,Ресторан,"Санкт - Петербург , Пестеля , 8","пн - чт , вс 12.00 – 23.00 , пт - сб 12.00 – 0.00",7.5,700 – 1700 рублей средний чек,
Бизе,Кондитерская,"Санкт - Петербург , Жуковского , 41","пн - пт 8.30 – 23.00 , сб - вс 10.00 – 23.00",7.5,700 – 1700 рублей средний чек,
Пивная карта,Бар,"Санкт - Петербург , Восстания , 55",пн - вс 12.00 – 23.00,7.5,,
Чаплин - холл,Ресторан,"Санкт - Петербург , Пироговская наб., 5 / 2 , отель « Санкт - Петербург », 1 этаж",пн - вс 12.00 и до последнего посетителя,7.5,1700 – 3000 рублей средний чек,
Marketplace,Кафе,"Санкт - Петербург , Невский просп., 24","пн - чт , вс 9.00 – 23.00 , пт - сб 9.00 – 1.00",7.5,700 – 1700 рублей средний чек,
Brimborium,Бар,"Санкт - Петербург , Маяковского , 22 – 24",пн - вс 16.00 – 23.00,7.5,700 – 1700 рублей средний чек,
Штолле,Ресторан,"Санкт - Петербург , 1 - я линия В.О., 50",пн - вс 8.00 – 22.00,7.5,До 700 рублей средний чек,
City Grill Express,Ресторан,"Санкт - Петербург , наб.канала Грибоедова , 18 – 20","пн - чт 11.00 – 23.00 , пт - сб 12.00 – 1.00 , вс 12.00 – 23.00",7.5,700 – 1700 рублей средний чек,
Москва,Ресторан,"Санкт - Петербург , Невский просп., 114 , ТК « Невский центр », 6 этаж","пн - вт , вс 10.00 – 0.00 , ср - сб 10.00 – 1.00",7.5,1700 – 3000 рублей средний чек,
Северянин,Ресторан,"Санкт - Петербург , Столярный пер., 18 / 69",пн - вс 12.00 – 0.00,7.4,1700 – 3000 рублей средний чек,
Ginza,Ресторан,"Санкт - Петербург , Аптекарский просп., 16",пн - вс 12.00 – 23.00,7.4,Больше 3000 рублей средний чек,
Mozzarella,Ресторан,"Санкт - Петербург , Большой просп.П.С., 13 / 4","пн - пт 9.00 – 23.00 , сб - вс 10.00 – 23.00",7.4,700 – 1700 рублей средний чек,
Рада & K,Кафе,"Санкт - Петербург , Гороховая , 36",пн - вс 11.00 – 22.00,7.3,До 700 рублей средний чек,
Бюро,Ресторан,"Санкт - Петербург , Жуковского , 29","пн - чт , вс 12.00 – 1.00 , пт - сб 12.00 – 3.00",7.3,700 – 1700 рублей средний чек,
