name,category,address,hours,rating,avg_bill,middle_coffee_cup
33 пингвина,Кондитерская,"Новосибирск , Курчатова , 1 , ТРК « Голден - парк »",пн - вс 10.00 – 22.00,,,
33 пингвина,Кондитерская,"Новосибирск , пр.Энергетиков , 8 , гипермаркет « Гигант »",пн - вс 10.00 – 22.00,,,
33 пингвина,Кондитерская,"Новосибирск , Фрунзе , 238 , ТРЦ « Сибирский молл »",пн - вс 10.00 – 22.00,,,
33 пингвина,Кондитерская,"Новосибирск , Военная , 5 , ТРЦ « Аура »",пн - вс 10.00 – 22.00,,,
33 пингвина,Кондитерская,"Новосибирск , пл.Карла Маркса , 7 , МФК « Сан - сити »",пн - вс 10.00 – 22.00,,,
33 пингвина,Кондитерская,"Новосибирск , Бердское ш., 277 , ТЦ « Гигант »",пн - вс 9.00 – 21.00,,,
33 пингвина,Кондитерская,"Новосибирск , Тюленина , 17 / 1 , ТРЦ « Кристалл »",пн - вс 10.00 – 21.00,,,
33 пингвина,Кондитерская,"Новосибирск , пл.Карла Маркса , 6 / 1 , ТВК « Калейдоскоп »",пн - вс 10.00 – 21.00,,,
33 пингвина,Кондитерская,"Новосибирск , аэропорт Толмачево",круглосуточно,,,
33 пингвина,Кондитерская,"Новосибирск , 1 - е Мочищенское ш., 6 , 2 этаж",пн - вс 10.00 – 21.00,,,
55 широта,Банкетный зал,"Новосибирск , Дениса Давыдова , 1 / 3 , гостиница « 55 широта »",по предварительной договоренности,,,
5 звезд,Кафе,"Новосибирск , Жуковского , 102",круглосуточно,,700 – 1700 рублей средний чек,
6 - 12 - 24,Бар,"Новосибирск , аэропорт Толмачево",круглосуточно,,700 – 1700 рублей средний чек,
68 чашек,Кофейня,"Новосибирск , пос.Кольцово , Никольский просп., 10",пн - вс 8.30 – 20.30,,,
8 минут,Столовая,"Новосибирск , пл.Карла Маркса , 3 , ТОЦ « Версаль »",пн - вс 10.00 – 22.00,,До 700 рублей средний чек,
Abnicum,Кафе,"Новосибирск , Сибиряков - Гвардейцев , 56 / 3 , отель Abnicum",пн - вс 7.00 – 2.00,,700 – 1700 рублей средний чек,
Absolem,Бар,"Новосибирск , Галущака , 2",круглосуточно,,,
Alma,Кафе,"Новосибирск , Первомайская , 23",пн - вс 9.00 – 5.00,,700 – 1700 рублей средний чек,
Amigo Churros,Стритфуд,"Новосибирск , Ленина , 3 , гостиница « Центральная »",пн - вс 12.00 – 21.00,,До 700 рублей средний чек,
Amsterdam Pub,Бар,"Новосибирск , Красный просп., 17 , цокольный этаж","пн - чт , вс 12.00 – 2.00 , пт - сб 12.00 – 3.00",,700 – 1700 рублей средний чек,
Arena Food,Кафе,"Новосибирск , Гаранина , 2",пн - вс 12.00 – 21.00,,До 700 рублей средний чек,
Art Coffee,Кофейня,"Новосибирск , 2 - я ​ Миргородская , 7",пн - вс 7.00 – 20.00,,,
Aurora,Кафе,"Новосибирск , Панфиловцев , 53 , гостиница Aurora","пн - пт 7.30 – 23.00 , сб - вс 8.00 – 23.00",,До 700 рублей средний чек,
Avocado Queen,Ресторан,"Новосибирск , ​ Красный просп., 25","пн - чт , вс 9.00 – 0.00 , пт - сб 9.00 – 1.00",,1700 – 3000 рублей средний чек,
Aziatish,Ресторан,"Новосибирск , Ленина , 21 , в здании отеля « Azimut Сибирь »","пн - чт , вс 12.00 – 0.00 , пт - сб 12.00 – 2.00",,700 – 1700 рублей средний чек,
Banket Party,Банкетный зал,"Новосибирск , Связистов , 131 / 1",по предварительной договоренности,,,
Barbara ждет,Бар,"Новосибирск , пл.Карла Маркса , 1 / 1","пн - чт , вс 16.00 – 0.00 , пт - сб 16.00 – 2.00",,До 700 рублей средний чек,
Barbaris,Кафе,"Новосибирск , Урицкого , 36","пн - пт 8.30 – 23.00 , сб - вс 10.00 – 23.00",,До 700 рублей средний чек,
Bar BQ,Бар,"Новосибирск , Каменская , 44","пн - чт 11.00 – 22.00 , пт - вс 11.00 – 23.00",,До 700 рублей средний чек,
Bar BQ,Бар,"Новосибирск , Красный просп., 50","пн - чт , вс 11.00 – 23.00 , пт - сб 11.00 – 0.00",,До 700 рублей средний чек,
Bar BQ,Бар,"Новосибирск , просп.Карла Маркса , 47",пн - вс 11.00 – 23.00,,До 700 рублей средний чек,
Bar BQ,Бар,"Новосибирск , Кирова , 29","пн - чт 11.00 – 23.00 , пт - вс 11.00 – 0.00",,До 700 рублей средний чек,
Barcelona,Ресторан,"Новосибирск , ​ Одоевского , 1 / 8",пн - вс 10.00 – 23.00,,До 700 рублей средний чек,
Barista,Кофейня,"Новосибирск , Советская , 40","пн - пт 8.00 – 21.00 , сб - вс 9.00 – 21.00",,,
BBQ,Кафе,"Новосибирск , Владимировская , 16а",пн - вс 10.00 – 22.00,,До 700 рублей средний чек,
BBQ Smoker,Бар,"Новосибирск , Первомайская , 7а , корп.1",пн - вс 10.00 – 0.00,,700 – 1700 рублей средний чек,
Beef Grill,Кафе,"Новосибирск , пос.Краснообск , 244а",пн - вс 10.00 – 21.00,,До 700 рублей средний чек,
Beefy,Бар,"Новосибирск , Фрунзе , 5 , цокольный этаж","пн - чт , вс 12.00 – 0.00 , пт - сб 12.00 – 1.00",,700 – 1700 рублей средний чек,
Beer Burger Hotdog,Ресторан,"Новосибирск , ​ Ленина , 3 , гостиница « Центральная »",пн - вс 11.00 – 23.00,,До 700 рублей средний чек,
Beer Burger Hotdog,Ресторан,"Новосибирск , ​ Залесского , 4 , корп.4",пн - вс 10.00 – 0.00,,До 700 рублей средний чек,
Beerman на речке,Ресторан,"Новосибирск , Добролюбова , 2а , БЦ « Речной вокзал »",пн - вс 12.00 – 0.00,,700 – 1700 рублей средний чек,
Beerman & Пицца,Ресторан,"Новосибирск , пл.Карла Маркса , 7 , МФК « Сан - сити »",пн - вс 12.00 – 0.00,,700 – 1700 рублей средний чек,
Bella mozzarella,Ресторан,"Новосибирск , ​ Геодезическая , 3",пн - вс 11.00 – 23.00,,До 700 рублей средний чек,
Berry Bakery,Пекарня,"Новосибирск , ​ Немировича - Данченко , 146 / 3",пн - вс 9.00 – 22.00,,До 700 рублей средний чек,
Bierhof,"бар, паб","Новосибирск , Восход , 24",пн - вс 12.00 – 0.00,,700 – 1700 рублей средний чек,
Big Party,Ресторан,,,,,
Bigsby,Ресторан,"Новосибирск , Ильича , 10","пн - чт 16.00 – 1.00 , пт 16.00 – 3.00 , сб 12.00 – 3.00 , вс 12.00 – 1.00",,700 – 1700 рублей средний чек,
Biscuit House,Кондитерская,"Новосибирск , Декабристов , 41",пн - вс 9.00 – 21.00,,,
Bla Bla Bar,Бар,"Новосибирск , Депутатская , 46 , 2 этаж",чт - сб 18.00 – 0.00,,700 – 1700 рублей средний чек,
Black & White,Кофейня,"Новосибирск , ​ Кошурникова , 7 / 2",пн - вс 8.00 – 22.00,,,
Blackwood Coffee,Кофейня,"Новосибирск , Красный просп., 77б",пн - вс 7.45 – 22.00,,До 700 рублей средний чек,
Blackwood Coffee,Кофейня,"Новосибирск , пл.Карла Маркса , 1 / 1",пн - вс 7.45 – 22.00,,До 700 рублей средний чек,
Blackwood Coffee,Кофейня,"Новосибирск , Красный просп., 29 / 1 , ТЦ « Пирамида »",пн - вс 7.45 – 22.00,,До 700 рублей средний чек,
Blackwood Coffee,Кофейня,"Новосибирск , ​ Фабричная , 11","пн - пт 7.30 – 19.00 , сб 10.00 – 19.00",,До 700 рублей средний чек,
Bolkonsky Lounge,Ресторан,"Новосибирск , Горский микрорайон , 1 / 1","пн - чт 13.00 – 1.00 , пт 13.00 – 2.00 , сб 16.00 – 2.00 , вс 16.00 – 1.00",,,
Bootleggers Pub & Shop,Паб,"Новосибирск , Советская , 23 , цокольный этаж","пн - чт , вс 14.00 – 1.00 , пт - сб 14.00 – 3.00",,700 – 1700 рублей средний чек,
Boston,Кофейня,"Новосибирск , просп.Карла Маркса , 28 / 1 , корп.1","пн - пт 7.30 – 22.00 , сб - вс 9.00 – 22.00",,,
Boston,Кофейня,"Новосибирск , просп.Карла Маркса , 30 / 1 , БЦ « Горский »","пн - пт 7.30 – 22.00 , сб - вс 9.00 – 22.00",,,
Brand Burg,Фастфуд,"Новосибирск , Титова , 15 , корп.2",пн - вс 9.00 – 23.30,,До 700 рублей средний чек,
Bravos,Кофейня,"Новосибирск , ​ Мичурина , 12",пн - вс 9.00 – 19.00,,,
Brera,Бар,"Новосибирск , Ленина , 26 , Domina Hotel , 1 этаж",круглосуточно,,700 – 1700 рублей средний чек,
Brewsell,Кофейня,"Новосибирск , Ленина , 10а , ТЦ « Пассаж »","пн - пт 7.31 – 22.36 , сб - вс 9.29 – 22.36",,,
Brewsell,Кофейня,"Новосибирск , просп.Карла Маркса , 41","пн - пт 7.31 – 22.36 , сб - вс 9.31 – 22.36",,,
Buon appetito,Ресторан,"Новосибирск , Фрунзе , 238 , ТРЦ « Сибирский молл », 1 этаж",пн - вс 10.00 – 22.00,,До 700 рублей средний чек,
Buon appetito,Ресторан,"Новосибирск , Выборная , 89 / 8 , 1 этаж",пн - вс 9.00 – 22.00,,До 700 рублей средний чек,
Buon appetito,Ресторан,"Новосибирск , Военная , 5 , ТРЦ « Аура »",пн - вс 10.00 – 22.00,,До 700 рублей средний чек,
